bucket,probability
0.10%,NA
0.35%,NA
0.60%,NA
0.85%,NA
1.10%,NA
1.35%,NA
1.60%,NA
1.85%,NA
2.10%,NA
2.35%,NA
2.60%,NA
2.85%,NA
3.10%,NA
3.35%,NA
3.60%,NA
3.85%,NA
4.10%,NA
4.35%,NA
4.60%,NA
