dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-09-28,2026-09-15,2026-09-15,95.645,95.64,-0.0049999999999954525,-0.005227664802128133,-0.005,-0.005,95.64,96.86500000000001,95.64,95.64,95.645,2300,2300,976225343,IBU2026,2026-09-01,2026-09-15,2026-09-15T23:08:43Z,4.359999999999999,4.355000000000004
2026-10-28,2026-09-15,2026-09-15,95.46000000000001,95.455,-0.030000000000001137,-0.031418547415825664,0,0,95.455,96.86500000000001,95.44500000000001,95.455,95.455,687,687,983956682,IBV2026,2026-10-01,2026-09-15,2026-09-15T23:08:43Z,4.545000000000002,4.545000000000002
2026-11-28,2026-09-15,2026-09-15,95.37,95.275,-0.060000000000002274,-0.0629029721654372,-0.015,-0.016,95.325,96.86500000000001,95.31,95.325,95.325,450,450,990482019,IBX2026,2026-11-01,2026-09-15,2026-09-15T23:08:43Z,4.674999999999997,4.674999999999997
2026-12-29,2026-09-15,2026-09-15,95.315,95.235,-0.07500000000000284,-0.0786534528865847,-0.02,-0.021,95.28,96.86500000000001,95.255,95.28,95.27,450,450,996839036,IBZ2026,2026-12-01,2026-09-15,2026-09-15T23:08:43Z,4.719999999999999,4.730000000000004
2027-01-27,2026-09-15,2026-09-15,NA,95.27,-0.07500000000000284,-0.07866170223923943,-0.015,-0.016,95.27,95.415,95.27,95.27,95.26,1,1,1004041830,IBF2027,2027-01-01,2026-09-15,2026-09-15T23:08:43Z,4.730000000000004,4.739999999999995
2027-02-24,2026-09-15,2026-09-15,NA,NA,-0.09000000000000341,-0.09444852555357687,-0.01,-0.011,95.2,95.52,95.2,95.2,95.17,150,150,1010033436,IBG2027,2027-02-01,2026-09-15,2026-09-15T23:08:43Z,4.799999999999997,4.829999999999998
2027-03-29,2026-09-10,2026-09-15,NA,NA,-0.060000000000002274,-0.06298551333193604,-0.02,-0.021,95.2,95.2,95.2,95.2,95.11,0,0,1016946091,IBH2027,2027-03-01,2026-09-15,2026-09-15T23:08:43Z,4.890000000000001,4.890000000000001
2027-04-28,2026-08-20,2026-09-15,NA,NA,0.21999999999999886,0.23098325371410453,0,0,95.465,95.48,95.46000000000001,95.465,95.055,0,0,1026315950,IBJ2027,2027-04-01,2026-09-15,2026-09-15T23:08:43Z,4.944999999999993,4.944999999999993
2027-05-29,2026-09-11,2026-09-15,NA,NA,-0.22499999999999432,-0.23624527509449214,-0.17500000000000002,-0.184,95.015,95.51,95.015,95.015,94.99,0,0,1033478754,IBK2027,2027-05-01,2026-09-15,2026-09-15T23:08:43Z,5.010000000000005,5.010000000000005
2027-06-28,NA,2026-09-15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,94.97500000000001,0,0,1041047069,IBM2027,2027-06-01,2026-09-15,2026-09-15T23:08:43Z,5.0249999999999915,5.0249999999999915
2027-07-28,NA,2026-09-15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,94.955,0,0,1048381155,IBN2027,2027-07-01,2026-09-15,2026-09-15T23:08:43Z,5.045000000000002,5.045000000000002
2027-08-29,NA,2026-09-15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,94.955,0,0,1056394462,IBQ2027,2027-08-01,2026-09-15,2026-09-15T23:08:43Z,5.045000000000002,5.045000000000002
2027-09-28,NA,2026-09-15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,94.95,0,0,1065438498,IBU2027,2027-09-01,2026-09-15,2026-09-15T23:08:43Z,5.049999999999997,5.049999999999997
2027-10-27,2026-09-11,2026-09-15,NA,NA,-0.2949999999999875,-0.30964626850003935,-0.215,-0.226,94.97500000000001,95.74000000000001,94.97500000000001,94.97500000000001,94.94,0,0,1073003941,IBV2027,2027-10-01,2026-09-15,2026-09-15T23:08:43Z,5.060000000000002,5.060000000000002
2027-11-28,NA,2026-09-15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,94.955,0,0,1081768076,IBX2027,2027-11-01,2026-09-15,2026-09-15T23:08:43Z,5.045000000000002,5.045000000000002
2027-12-29,NA,2026-09-15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,94.97500000000001,0,0,1089939586,IBZ2027,2027-12-01,2026-09-15,2026-09-15T23:08:43Z,5.0249999999999915,5.0249999999999915
2028-01-29,NA,2026-09-15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,94.995,0,0,1098735700,IBF2028,2028-01-01,2026-09-15,2026-09-15T23:08:43Z,5.0049999999999955,5.0049999999999955
2028-02-27,NA,2026-09-15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95.025,0,0,1106206220,IBG2028,2028-02-01,2026-09-15,2026-09-15T23:08:43Z,4.974999999999994,4.974999999999994
