dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-05-27,2026-05-13,2026-05-13,95.69500000000001,95.69,0,0,-0.005,-0.005,95.69,97.015,95.69,95.69,95.69500000000001,5,5,949242588,IBK2026,2026-05-01,2026-05-13,2026-05-14T01:29:44Z,4.310000000000002,4.304999999999993
2026-06-28,2026-05-14,2026-05-13,95.635,95.63,0,0,0,0,95.63,96.97500000000001,95.62,95.63,95.63,206,206,955528239,IBM2026,2026-06-01,2026-05-13,2026-05-14T01:29:44Z,4.3700000000000045,4.3700000000000045
2026-07-29,2026-05-13,2026-05-13,95.61,95.60000000000001,0.005000000000009663,0.005230399079459871,0,0,95.60000000000001,96.075,95.59,95.60000000000001,95.60000000000001,441,441,962344067,IBN2026,2026-07-01,2026-05-13,2026-05-14T01:29:44Z,4.3999999999999915,4.3999999999999915
2026-08-29,2026-05-11,2026-05-13,95.525,95.5,-0.009999999999990905,-0.010469011725283611,0,0,95.51,96.15,95.51,95.51,95.485,0,0,969160575,IBQ2026,2026-08-01,2026-05-13,2026-05-14T01:29:44Z,4.515000000000001,4.515000000000001
2026-09-28,2026-05-14,2026-05-13,95.455,95.44500000000001,-0.030000000000001137,-0.03142348381690702,0.02,0.021,95.44,96.86500000000001,95.465,95.44,95.42,25,25,976225343,IBU2026,2026-09-01,2026-05-13,2026-05-14T01:29:44Z,4.560000000000002,4.579999999999998
2026-10-28,2026-05-14,2026-05-13,95.385,95.37,-0.045000000000001705,-0.04716239584971095,0.03,0.031,95.37,96.86500000000001,95.4,95.37,95.34,25,25,983956682,IBV2026,2026-10-01,2026-05-13,2026-05-14T01:29:44Z,4.6299999999999955,4.659999999999997
2026-11-28,2026-04-22,2026-05-13,95.325,95.295,0.0049999999999954525,0.005243563525767345,-0.03,-0.031,95.36,96.86500000000001,95.36,95.36,95.255,0,0,990482019,IBX2026,2026-11-01,2026-05-13,2026-05-14T01:29:44Z,4.7450000000000045,4.7450000000000045
2026-12-29,2026-04-07,2026-05-13,95.31,95.28,0.01999999999999602,0.02097755401719742,0.065,0.068,95.36,96.86500000000001,95.36,95.36,95.235,0,0,996839036,IBZ2026,2026-12-01,2026-05-13,2026-05-14T01:29:44Z,4.765000000000001,4.765000000000001
2027-01-27,2026-04-28,2026-05-13,95.31,95.28,-0.07000000000000739,-0.07342143906021333,-0.015,-0.016,95.27,95.27,95.27,95.27,95.235,0,0,1004041830,IBF2027,2027-01-01,2026-05-13,2026-05-14T01:29:44Z,4.765000000000001,4.765000000000001
2027-02-24,NA,2026-05-13,95.305,95.275,NA,0,NA,NA,NA,NA,NA,NA,95.23,0,0,1010033436,IBG2027,2027-02-01,2026-05-13,2026-05-14T01:29:44Z,4.769999999999996,4.769999999999996
2027-03-29,NA,2026-05-13,95.305,95.275,NA,0,NA,NA,NA,NA,NA,NA,95.23,0,0,1016946091,IBH2027,2027-03-01,2026-05-13,2026-05-14T01:29:44Z,4.769999999999996,4.769999999999996
2027-04-28,NA,2026-05-13,95.325,95.295,NA,0,NA,NA,NA,NA,NA,NA,95.235,0,0,1026315950,IBJ2027,2027-04-01,2026-05-13,2026-05-14T01:29:44Z,4.765000000000001,4.765000000000001
2027-05-29,NA,2026-05-13,95.345,95.315,NA,0,NA,NA,NA,NA,NA,NA,95.255,0,0,1033478754,IBK2027,2027-05-01,2026-05-13,2026-05-14T01:29:44Z,4.7450000000000045,4.7450000000000045
2027-06-28,NA,2026-05-13,95.355,95.325,NA,0,NA,NA,NA,NA,NA,NA,95.265,0,0,1041047069,IBM2027,2027-06-01,2026-05-13,2026-05-14T01:29:44Z,4.734999999999999,4.734999999999999
2027-07-28,NA,2026-05-13,95.375,95.345,NA,0,NA,NA,NA,NA,NA,NA,95.29,0,0,1048381155,IBN2027,2027-07-01,2026-05-13,2026-05-14T01:29:44Z,4.709999999999994,4.709999999999994
2027-08-29,NA,2026-05-13,95.39,95.36,NA,0,NA,NA,NA,NA,NA,NA,95.305,0,0,1056394462,IBQ2027,2027-08-01,2026-05-13,2026-05-14T01:29:44Z,4.694999999999993,4.694999999999993
2027-09-28,NA,2026-05-13,95.405,95.375,NA,0,NA,NA,NA,NA,NA,NA,95.32000000000001,0,0,1065438498,IBU2027,2027-09-01,2026-05-13,2026-05-14T01:29:44Z,4.679999999999993,4.679999999999993
2027-10-27,NA,2026-05-13,95.42,95.39,NA,0,NA,NA,NA,NA,NA,NA,95.33500000000001,0,0,1073003941,IBV2027,2027-10-01,2026-05-13,2026-05-14T01:29:44Z,4.664999999999992,4.664999999999992
