date,cash_rate,scrape_date,scrape_time
2024-10-01,4.334999999999994,2024-10-14,2024-10-14T12:00:00Z
2024-11-01,4.314999999999998,2024-10-14,2024-10-14T12:00:00Z
2024-12-01,4.265000000000001,2024-10-14,2024-10-14T12:00:00Z
2025-01-01,4.2450000000000045,2024-10-14,2024-10-14T12:00:00Z
2025-02-01,4.200000000000003,2024-10-14,2024-10-14T12:00:00Z
2025-03-01,4.1200000000000045,2024-10-14,2024-10-14T12:00:00Z
2025-04-01,4.030000000000001,2024-10-14,2024-10-14T12:00:00Z
2025-05-01,3.984999999999999,2024-10-14,2024-10-14T12:00:00Z
2025-06-01,3.899999999999991,2024-10-14,2024-10-14T12:00:00Z
2025-07-01,3.8349999999999937,2024-10-14,2024-10-14T12:00:00Z
2025-08-01,3.759999999999991,2024-10-14,2024-10-14T12:00:00Z
2025-09-01,3.7249999999999943,2024-10-14,2024-10-14T12:00:00Z
2025-10-01,3.664999999999992,2024-10-14,2024-10-14T12:00:00Z
2025-11-01,3.614999999999995,2024-10-14,2024-10-14T12:00:00Z
2025-12-01,3.569999999999993,2024-10-14,2024-10-14T12:00:00Z
2026-01-01,3.5549999999999926,2024-10-14,2024-10-14T12:00:00Z
2026-02-01,3.515000000000001,2024-10-14,2024-10-14T12:00:00Z
2026-03-01,3.4950000000000045,2024-10-14,2024-10-14T12:00:00Z
