date,cash_rate,scrape_date,scrape_time
2025-08-01,3.6850000000000023,2025-08-04,2025-08-04T07:00:39Z
2025-09-01,3.5799999999999983,2025-08-04,2025-08-04T07:00:39Z
2025-10-01,3.4849999999999994,2025-08-04,2025-08-04T07:00:39Z
2025-11-01,3.319999999999993,2025-08-04,2025-08-04T07:00:39Z
2025-12-01,3.269999999999996,2025-08-04,2025-08-04T07:00:39Z
2026-01-01,3.259999999999991,2025-08-04,2025-08-04T07:00:39Z
2026-02-01,2.9599999999999937,2025-08-04,2025-08-04T07:00:39Z
2026-03-01,3.049999999999997,2025-08-04,2025-08-04T07:00:39Z
2026-04-01,3.075000000000003,2025-08-04,2025-08-04T07:00:39Z
2026-05-01,3.039999999999992,2025-08-04,2025-08-04T07:00:39Z
2026-06-01,3.0249999999999915,2025-08-04,2025-08-04T07:00:39Z
2026-07-01,3.0349999999999966,2025-08-04,2025-08-04T07:00:39Z
2026-08-01,3.0349999999999966,2025-08-04,2025-08-04T07:00:39Z
2026-09-01,3.0349999999999966,2025-08-04,2025-08-04T07:00:39Z
2026-10-01,3.039999999999992,2025-08-04,2025-08-04T07:00:39Z
2026-11-01,3.0450000000000017,2025-08-04,2025-08-04T07:00:39Z
2026-12-01,3.049999999999997,2025-08-04,2025-08-04T07:00:39Z
2027-01-01,3.0549999999999926,2025-08-04,2025-08-04T07:00:39Z
