dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-05-27,2026-05-25,2026-05-25,95.69500000000001,95.69,0,0,-0.005,-0.005,95.69,97.015,95.69,95.69,95.69500000000001,31,31,949242588,IBK2026,2026-05-01,2026-05-25,2026-05-26T04:36:40Z,4.310000000000002,4.304999999999993
2026-06-28,2026-05-26,2026-05-25,95.645,95.64,0.009999999999990905,0.010456422857730857,-0.005,-0.005,95.645,96.97500000000001,95.64,95.645,95.65,246,246,955528239,IBM2026,2026-06-01,2026-05-25,2026-05-26T04:36:40Z,4.355000000000004,4.349999999999994
2026-07-29,2026-05-26,2026-05-25,95.64,95.635,0.025000000000005684,0.026146525126816592,-0.005,-0.005,95.64,96.075,95.59,95.64,95.645,356,356,962344067,IBN2026,2026-07-01,2026-05-25,2026-05-26T04:36:40Z,4.359999999999999,4.355000000000004
2026-08-29,2026-05-25,2026-05-25,95.575,95.55,0.060000000000002274,0.06281407035176118,0.015,0.016,95.58,96.15,95.58,95.58,95.57000000000001,1,1,969160575,IBQ2026,2026-08-01,2026-05-25,2026-05-26T04:36:40Z,4.420000000000002,4.429999999999993
2026-09-28,2026-05-25,2026-05-25,95.525,95.5,0.07500000000000284,0.07856693903205829,0.02,0.021,95.535,96.86500000000001,95.535,95.535,95.525,1,1,976225343,IBU2026,2026-09-01,2026-05-25,2026-05-26T04:36:40Z,4.465000000000003,4.474999999999994
2026-10-28,2026-05-14,2026-05-25,95.48,95.465,-0.030000000000001137,-0.03144654088050433,0.03,0.031,95.37,96.86500000000001,95.37,95.37,95.48,0,0,983956682,IBV2026,2026-10-01,2026-05-25,2026-05-26T04:36:40Z,4.519999999999996,4.519999999999996
2026-11-28,2026-05-18,2026-05-25,95.44,95.41,-0.05499999999999261,-0.057691299103154785,-0.01,-0.01,95.28,96.86500000000001,95.28,95.28,95.43,0,0,990482019,IBX2026,2026-11-01,2026-05-25,2026-05-26T04:36:40Z,4.569999999999993,4.569999999999993
2026-12-29,2026-05-18,2026-05-25,95.42,95.39,-0.06499999999999773,-0.0681913554343241,-0.01,-0.01,95.255,96.86500000000001,95.255,95.255,95.415,0,0,996839036,IBZ2026,2026-12-01,2026-05-25,2026-05-26T04:36:40Z,4.584999999999994,4.584999999999994
2027-01-27,2026-05-18,2026-05-25,95.415,95.385,-0.06499999999999773,-0.06819493259192963,-0.01,-0.01,95.25,95.27,95.25,95.25,95.415,0,0,1004041830,IBF2027,2027-01-01,2026-05-25,2026-05-26T04:36:40Z,4.584999999999994,4.584999999999994
2027-02-24,NA,2026-05-25,95.41,95.38,NA,0,NA,NA,NA,NA,NA,NA,95.41,0,0,1010033436,IBG2027,2027-02-01,2026-05-25,2026-05-26T04:36:40Z,4.590000000000003,4.590000000000003
2027-03-29,NA,2026-05-25,95.415,95.385,NA,0,NA,NA,NA,NA,NA,NA,95.415,0,0,1016946091,IBH2027,2027-03-01,2026-05-25,2026-05-26T04:36:40Z,4.584999999999994,4.584999999999994
2027-04-28,NA,2026-05-25,95.43,95.4,NA,0,NA,NA,NA,NA,NA,NA,95.425,0,0,1026315950,IBJ2027,2027-04-01,2026-05-25,2026-05-26T04:36:40Z,4.575000000000003,4.575000000000003
2027-05-29,NA,2026-05-25,95.45,95.42,NA,0,NA,NA,NA,NA,NA,NA,95.44500000000001,0,0,1033478754,IBK2027,2027-05-01,2026-05-25,2026-05-26T04:36:40Z,4.554999999999993,4.554999999999993
2027-06-28,NA,2026-05-25,95.465,95.435,NA,0,NA,NA,NA,NA,NA,NA,95.46000000000001,0,0,1041047069,IBM2027,2027-06-01,2026-05-25,2026-05-26T04:36:40Z,4.539999999999992,4.539999999999992
2027-07-28,NA,2026-05-25,95.485,95.455,NA,0,NA,NA,NA,NA,NA,NA,95.485,0,0,1048381155,IBN2027,2027-07-01,2026-05-25,2026-05-26T04:36:40Z,4.515000000000001,4.515000000000001
2027-08-29,NA,2026-05-25,95.51,95.48,NA,0,NA,NA,NA,NA,NA,NA,95.51,0,0,1056394462,IBQ2027,2027-08-01,2026-05-25,2026-05-26T04:36:40Z,4.489999999999995,4.489999999999995
2027-09-28,NA,2026-05-25,95.53,95.5,NA,0,NA,NA,NA,NA,NA,NA,95.53,0,0,1065438498,IBU2027,2027-09-01,2026-05-25,2026-05-26T04:36:40Z,4.469999999999999,4.469999999999999
2027-10-27,NA,2026-05-25,95.55,95.52,NA,0,NA,NA,NA,NA,NA,NA,95.55,0,0,1073003941,IBV2027,2027-10-01,2026-05-25,2026-05-26T04:36:40Z,4.450000000000003,4.450000000000003
