dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-06-28,2026-06-16,2026-06-23,95.655,95.65,0,0,0,0,95.65,96.97500000000001,95.645,95.65,95.655,0,0,955528239,IBM2026,2026-06-01,2026-06-23,2026-06-23T12:21:12Z,4.344999999999999,4.344999999999999
2026-07-29,2026-06-23,2026-06-23,95.655,95.65,0,0,-0.005,-0.005,95.65,96.075,95.65,95.65,95.655,149,149,962344067,IBN2026,2026-07-01,2026-06-23,2026-06-23T12:21:12Z,4.349999999999994,4.344999999999999
2026-08-29,2026-06-23,2026-06-23,95.61,95.60000000000001,0.010000000000005116,0.010460798158904876,0.005,0.005,95.605,96.15,95.605,95.605,95.605,100,100,969160575,IBQ2026,2026-08-01,2026-06-23,2026-06-23T12:21:12Z,4.394999999999996,4.394999999999996
2026-09-28,2026-06-23,2026-06-23,95.59,95.58,1.4210854715202004e-14,1.4867243516453422e-14,0.01,0.01,95.58500000000001,96.86500000000001,95.52,95.58500000000001,95.58500000000001,2,2,976225343,IBU2026,2026-09-01,2026-06-23,2026-06-23T12:21:12Z,4.414999999999992,4.414999999999992
2026-10-28,2026-06-23,2026-06-23,NA,NA,-0.010000000000005116,-0.010462987182846054,0.01,0.01,95.565,96.86500000000001,95.555,95.565,95.56,51,51,983956682,IBV2026,2026-10-01,2026-06-23,2026-06-23T12:21:12Z,4.435000000000002,4.439999999999998
2026-11-28,2026-06-16,2026-06-23,NA,NA,0,0,-0.02,-0.021,95.51,96.86500000000001,95.51,95.51,95.52,0,0,990482019,IBX2026,2026-11-01,2026-06-23,2026-06-23T12:21:12Z,4.480000000000004,4.480000000000004
2026-12-29,2026-06-05,2026-06-23,NA,NA,-0.05500000000000682,-0.05757655064120054,0.015,0.016,95.47,96.86500000000001,95.435,95.47,95.515,0,0,996839036,IBZ2026,2026-12-01,2026-06-23,2026-06-23T12:21:12Z,4.484999999999999,4.484999999999999
2027-01-27,2026-05-18,2026-06-23,NA,NA,-0.2750000000000057,-0.28788275320597295,-0.01,-0.01,95.25,95.27,95.25,95.25,95.515,0,0,1004041830,IBF2027,2027-01-01,2026-06-23,2026-06-23T12:21:12Z,4.484999999999999,4.484999999999999
2027-02-24,2026-06-23,2026-06-23,NA,NA,-0.005000000000009663,-0.005234231876482243,0.03,0.031,95.52,95.52,95.51,95.52,95.525,100,100,1010033436,IBG2027,2027-02-01,2026-06-23,2026-06-23T12:21:12Z,4.480000000000004,4.474999999999994
2027-03-29,NA,2026-06-23,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95.535,0,0,1016946091,IBH2027,2027-03-01,2026-06-23,2026-06-23T12:21:12Z,4.465000000000003,4.465000000000003
2027-04-28,NA,2026-06-23,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95.56,0,0,1026315950,IBJ2027,2027-04-01,2026-06-23,2026-06-23T12:21:12Z,4.439999999999998,4.439999999999998
2027-05-29,2026-06-10,2026-06-23,NA,NA,-0.06499999999999773,-0.06800941668846218,0.06,0.063,95.51,95.51,95.51,95.51,95.58500000000001,0,0,1033478754,IBK2027,2027-05-01,2026-06-23,2026-06-23T12:21:12Z,4.414999999999992,4.414999999999992
2027-06-28,NA,2026-06-23,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95.60000000000001,0,0,1041047069,IBM2027,2027-06-01,2026-06-23,2026-06-23T12:21:12Z,4.3999999999999915,4.3999999999999915
2027-07-28,NA,2026-06-23,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95.63,0,0,1048381155,IBN2027,2027-07-01,2026-06-23,2026-06-23T12:21:12Z,4.3700000000000045,4.3700000000000045
2027-08-29,NA,2026-06-23,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95.655,0,0,1056394462,IBQ2027,2027-08-01,2026-06-23,2026-06-23T12:21:12Z,4.344999999999999,4.344999999999999
2027-09-28,NA,2026-06-23,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95.685,0,0,1065438498,IBU2027,2027-09-01,2026-06-23,2026-06-23T12:21:12Z,4.314999999999998,4.314999999999998
2027-10-27,2026-06-17,2026-06-23,NA,NA,0.05000000000001137,0.05225206395653816,0.05,0.052000000000000005,95.74000000000001,95.74000000000001,95.74000000000001,95.74000000000001,95.71000000000001,0,0,1073003941,IBV2027,2027-10-01,2026-06-23,2026-06-23T12:21:12Z,4.289999999999992,4.289999999999992
2027-11-28,NA,2026-06-23,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95.745,0,0,1081768076,IBX2027,2027-11-01,2026-06-23,2026-06-23T12:21:12Z,4.2549999999999955,4.2549999999999955
