dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-03-29,2026-03-01,2026-02-27,96.15,96.145,0.015000000000000568,0.015603058199407674,0.01,0.01,96.15,97.105,96.125,96.15,96.14,1959,1959,935346173,IBH2026,2026-03-01,2026-02-27,2026-03-02T04:45:34Z,3.8499999999999943,3.8599999999999994
2026-04-28,2026-03-02,2026-02-27,96.14,96.135,0.01999999999999602,0.020807324178106556,0.015,0.016,96.14,96.925,96.08500000000001,96.14,96.125,744,744,941648808,IBJ2026,2026-04-01,2026-02-27,2026-03-02T04:45:34Z,3.8599999999999994,3.875
2026-05-27,2026-03-02,2026-02-27,95.99000000000001,95.97,0.025000000000005684,0.02604845011722395,0.025,0.026000000000000002,96,97.015,95.955,96,95.97500000000001,150,150,949242588,IBK2026,2026-05-01,2026-02-27,2026-03-02T04:45:34Z,4,4.0249999999999915
2026-06-28,2026-02-23,2026-02-27,95.955,95.93,1.4210854715202004e-14,1.481145939361301e-14,0.015,0.016,95.94500000000001,96.97500000000001,95.92,95.94500000000001,95.93,0,0,955528239,IBM2026,2026-06-01,2026-02-27,2026-03-02T04:45:34Z,4.069999999999993,4.069999999999993
2026-07-29,2026-02-24,2026-02-27,95.94500000000001,95.92,-0.0049999999999954525,-0.0052124055251451164,-0.005,-0.005,95.92,96.075,95.92,95.92,95.92,0,0,962344067,IBN2026,2026-07-01,2026-02-27,2026-03-02T04:45:34Z,4.079999999999998,4.079999999999998
2026-08-29,2025-12-09,2026-02-27,95.88,95.855,0.20999999999999375,0.2190809034479096,-0.105,-0.109,96.065,96.15,96.065,96.065,95.85000000000001,0,0,969160575,IBQ2026,2026-08-01,2026-02-27,2026-03-02T04:45:34Z,4.1499999999999915,4.1499999999999915
2026-09-28,2026-01-12,2026-02-27,95.845,95.82000000000001,0.3050000000000068,0.3183051554999028,0.02,0.021,96.125,96.86500000000001,96.11500000000001,96.125,95.815,0,0,976225343,IBU2026,2026-09-01,2026-02-27,2026-03-02T04:45:34Z,4.185000000000002,4.185000000000002
2026-10-28,2025-12-16,2026-02-27,95.84,95.81,0.26500000000000057,0.27657464906329965,-0.035,-0.036000000000000004,96.08,96.86500000000001,96.08,96.08,95.81,0,0,983956682,IBV2026,2026-10-01,2026-02-27,2026-03-02T04:45:34Z,4.189999999999998,4.189999999999998
2026-11-28,2025-12-09,2026-02-27,95.815,95.785,0.23499999999999943,0.24532832237185448,-0.055,-0.057,96.025,96.86500000000001,96.025,96.025,95.785,0,0,990482019,IBX2026,2026-11-01,2026-02-27,2026-03-02T04:45:34Z,4.215000000000003,4.215000000000003
2026-12-29,2026-02-25,2026-02-27,95.815,95.79,-0.045000000000001705,-0.04697531186387777,-0.05,-0.052000000000000005,95.75,96.86500000000001,95.75,95.75,95.79,0,0,996839036,IBZ2026,2026-12-01,2026-02-27,2026-03-02T04:45:34Z,4.209999999999994,4.209999999999994
2027-01-27,NA,2026-02-27,95.82000000000001,95.79,NA,0,NA,NA,NA,NA,NA,NA,95.79,0,0,1004041830,IBF2027,2027-01-01,2026-02-27,2026-03-02T04:45:34Z,NA,4.209999999999994
2027-02-24,NA,2026-02-27,95.83,95.8,NA,0,NA,NA,NA,NA,NA,NA,95.805,0,0,1010033436,IBG2027,2027-02-01,2026-02-27,2026-03-02T04:45:34Z,NA,4.194999999999993
2027-03-29,NA,2026-02-27,95.845,95.815,NA,0,NA,NA,NA,NA,NA,NA,95.815,0,0,1016946091,IBH2027,2027-03-01,2026-02-27,2026-03-02T04:45:34Z,NA,4.185000000000002
2027-04-28,NA,2026-02-27,95.86500000000001,95.83500000000001,NA,0,NA,NA,NA,NA,NA,NA,95.83500000000001,0,0,1026315950,IBJ2027,2027-04-01,2026-02-27,2026-03-02T04:45:34Z,NA,4.164999999999992
2027-05-29,NA,2026-02-27,95.885,95.855,NA,0,NA,NA,NA,NA,NA,NA,95.855,0,0,1033478754,IBK2027,2027-05-01,2026-02-27,2026-03-02T04:45:34Z,NA,4.144999999999996
2027-06-28,NA,2026-02-27,95.895,95.86500000000001,NA,0,NA,NA,NA,NA,NA,NA,95.86500000000001,0,0,1041047069,IBM2027,2027-06-01,2026-02-27,2026-03-02T04:45:34Z,NA,4.134999999999991
2027-07-28,NA,2026-02-27,95.91,95.88,NA,0,NA,NA,NA,NA,NA,NA,95.885,0,0,1048381155,IBN2027,2027-07-01,2026-02-27,2026-03-02T04:45:34Z,NA,4.114999999999995
2027-08-29,NA,NA,95.925,95.895,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,1056394462,IBQ2027,2027-08-01,NA,2026-03-02T04:45:34Z,NA,NA
