date,cash_rate,scrape_date,scrape_time
2024-04-01,4.314999999999998,2024-04-23,2024-04-23T12:00:00Z
2024-05-01,4.304999999999993,2024-04-23,2024-04-23T12:00:00Z
2024-06-01,4.289999999999992,2024-04-23,2024-04-23T12:00:00Z
2024-07-01,4.2749999999999915,2024-04-23,2024-04-23T12:00:00Z
2024-08-01,4.239999999999995,2024-04-23,2024-04-23T12:00:00Z
2024-09-01,4.230000000000004,2024-04-23,2024-04-23T12:00:00Z
2024-10-01,4.215000000000003,2024-04-23,2024-04-23T12:00:00Z
2024-11-01,4.170000000000002,2024-04-23,2024-04-23T12:00:00Z
2024-12-01,4.134999999999991,2024-04-23,2024-04-23T12:00:00Z
2025-01-01,4.1200000000000045,2024-04-23,2024-04-23T12:00:00Z
2025-02-01,4.075000000000003,2024-04-23,2024-04-23T12:00:00Z
2025-03-01,4.045000000000002,2024-04-23,2024-04-23T12:00:00Z
2025-04-01,4.019999999999996,2024-04-23,2024-04-23T12:00:00Z
2025-05-01,3.984999999999999,2024-04-23,2024-04-23T12:00:00Z
2025-06-01,3.9549999999999983,2024-04-23,2024-04-23T12:00:00Z
2025-07-01,3.9299999999999926,2024-04-23,2024-04-23T12:00:00Z
2025-08-01,3.905000000000001,2024-04-23,2024-04-23T12:00:00Z
2025-09-01,3.884999999999991,2024-04-23,2024-04-23T12:00:00Z
