dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate
2025-11-26,2025-11-07,2025-11-07,96.405,96.4,-0.009999999999990905,-0.01037236801160762,-0.005,-0.005,96.4,97.125,96.4,96.4,96.405,5,5,888966960,IBX2025,2025-11-01,2025-11-07,2025-11-09T22:50:54Z,3.5999999999999943
2025-12-29,2025-11-09,2025-11-07,96.43,96.425,-0.005000000000009663,-0.005185108368774928,-0.005,-0.005,96.425,97.19,96.415,96.425,96.43,165,165,895208763,IBZ2025,2025-12-01,2025-11-07,2025-11-09T22:50:54Z,3.575000000000003
2026-01-28,2025-11-06,2025-11-07,96.44500000000001,96.43,-0.0049999999999954525,-0.0051845707175398725,0,0,96.435,97.105,96.435,96.435,96.44,0,0,919010878,IBF2026,2026-01-01,2025-11-07,2025-11-09T22:50:54Z,3.5600000000000023
2026-02-25,2025-11-07,2025-11-07,96.505,96.49000000000001,-0.009999999999990905,-0.0103621574011615,0.01,0.01,96.495,97.065,96.47,96.495,96.5,20,20,928464846,IBG2026,2026-02-01,2025-11-07,2025-11-09T22:50:54Z,3.5049999999999955
2026-03-29,2025-11-07,2025-11-07,96.525,96.505,0,0,0.005,0.005,96.525,97.105,96.48,96.525,96.51,20,20,935346173,IBH2026,2026-03-01,2025-11-07,2025-11-09T22:50:54Z,3.4749999999999943
2026-04-28,2025-11-06,2025-11-07,96.54,96.515,-0.01999999999999602,-0.020715728416796333,-0.01,-0.01,96.525,96.925,96.525,96.525,96.52,0,0,941648808,IBJ2026,2026-04-01,2025-11-07,2025-11-09T22:50:54Z,3.480000000000004
2026-05-27,2025-10-30,2025-11-07,96.595,96.565,0.010000000000005116,0.010353038616839337,-0.03,-0.031,96.60000000000001,97.015,96.60000000000001,96.60000000000001,96.58500000000001,0,0,949242588,IBK2026,2026-05-01,2025-11-07,2025-11-09T22:50:54Z,3.414999999999992
2026-06-28,2025-07-21,2025-11-07,96.61,96.58,0.3750000000000142,0.3881987577639899,NA,NA,96.97500000000001,96.97500000000001,NA,96.97500000000001,96.60000000000001,0,0,955528239,IBM2026,2026-06-01,2025-11-07,2025-11-09T22:50:54Z,3.3999999999999915
2026-07-29,NA,2025-11-07,96.62,96.59,NA,0,NA,NA,NA,NA,NA,NA,96.605,0,0,962344067,IBN2026,2026-07-01,2025-11-07,2025-11-09T22:50:54Z,NA
2026-08-29,NA,2025-11-07,96.625,96.595,NA,0,NA,NA,NA,NA,NA,NA,96.61,0,0,969160575,IBQ2026,2026-08-01,2025-11-07,2025-11-09T22:50:54Z,NA
2026-09-28,2025-11-04,2025-11-07,96.625,96.595,-0.01999999999999602,-0.020701790704891854,-0.02,-0.021,96.59,96.86500000000001,96.59,96.59,96.61500000000001,0,0,976225343,IBU2026,2026-09-01,2025-11-07,2025-11-09T22:50:54Z,3.384999999999991
2026-10-28,2025-11-04,2025-11-07,96.62,96.59,-0.03499999999999659,-0.03622625886249194,-0.035,-0.036000000000000004,96.58,96.86500000000001,96.58,96.58,96.61,0,0,983956682,IBV2026,2026-10-01,2025-11-07,2025-11-09T22:50:54Z,3.3900000000000006
2026-11-28,2025-11-04,2025-11-07,96.61500000000001,96.58500000000001,-0.030000000000001137,-0.03105268605734514,-0.03,-0.031,96.58,96.86500000000001,96.58,96.58,96.605,0,0,990482019,IBX2026,2026-11-01,2025-11-07,2025-11-09T22:50:54Z,3.394999999999996
2026-12-29,2025-11-04,2025-11-07,96.605,96.575,-0.03499999999999659,-0.03623375951135834,0.005,0.005,96.56,96.86500000000001,96.56,96.56,96.60000000000001,0,0,996839036,IBZ2026,2026-12-01,2025-11-07,2025-11-09T22:50:54Z,3.3999999999999915
2027-01-27,NA,2025-11-07,96.60000000000001,96.57000000000001,NA,0,NA,NA,NA,NA,NA,NA,96.595,0,0,1004041830,IBF2027,2027-01-01,2025-11-07,2025-11-09T22:50:54Z,NA
2027-02-24,NA,2025-11-07,96.59,96.56,NA,0,NA,NA,NA,NA,NA,NA,96.58,0,0,1010033436,IBG2027,2027-02-01,2025-11-07,2025-11-09T22:50:54Z,NA
2027-03-29,NA,2025-11-07,96.58,96.55,NA,0,NA,NA,NA,NA,NA,NA,96.575,0,0,1016946091,IBH2027,2027-03-01,2025-11-07,2025-11-09T22:50:54Z,NA
2027-04-28,NA,2025-11-07,96.57000000000001,96.54,NA,0,NA,NA,NA,NA,NA,NA,96.565,0,0,1026315950,IBJ2027,2027-04-01,2025-11-07,2025-11-09T22:50:54Z,NA
