date,cash_rate,scrape_date,scrape_time
2025-07-01,3.8400000000000034,2025-07-16,2025-07-16T06:44:30Z
2025-08-01,3.7049999999999983,2025-07-16,2025-07-16T06:44:30Z
2025-09-01,3.6200000000000045,2025-07-16,2025-07-16T06:44:30Z
2025-10-01,3.5450000000000017,2025-07-16,2025-07-16T06:44:30Z
2025-11-01,3.3900000000000006,2025-07-16,2025-07-16T06:44:30Z
2025-12-01,3.319999999999993,2025-07-16,2025-07-16T06:44:30Z
2026-01-01,3.0549999999999926,2025-07-16,2025-07-16T06:44:30Z
2026-02-01,2.9599999999999937,2025-07-16,2025-07-16T06:44:30Z
2026-03-01,3.1400000000000006,2025-07-16,2025-07-16T06:44:30Z
2026-04-01,3.1599999999999966,2025-07-16,2025-07-16T06:44:30Z
2026-05-01,3.144999999999996,2025-07-16,2025-07-16T06:44:30Z
2026-06-01,3.134999999999991,2025-07-16,2025-07-16T06:44:30Z
2026-07-01,3.1299999999999955,2025-07-16,2025-07-16T06:44:30Z
2026-08-01,3.134999999999991,2025-07-16,2025-07-16T06:44:30Z
2026-09-01,3.134999999999991,2025-07-16,2025-07-16T06:44:30Z
2026-10-01,3.144999999999996,2025-07-16,2025-07-16T06:44:30Z
2026-11-01,3.155000000000001,2025-07-16,2025-07-16T06:44:30Z
2026-12-01,3.1599999999999966,2025-07-16,2025-07-16T06:44:30Z
