dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-08-29,2026-07-30,2026-07-30,95.65,95.645,0.045000000000001705,0.04707112970711476,0,0,95.645,96.15,95.58,95.645,95.65,809,809,969160575,IBQ2026,2026-08-01,2026-07-30,2026-07-30T22:53:22Z,4.355000000000004,4.349999999999994
2026-09-28,2026-07-30,2026-07-30,95.645,95.64,0.09000000000000341,0.09419152276295491,-0.005,-0.005,95.64,96.86500000000001,95.52,95.64,95.645,822,822,976225343,IBU2026,2026-09-01,2026-07-30,2026-07-30T22:53:22Z,4.359999999999999,4.355000000000004
2026-10-28,2026-07-30,2026-07-30,95.62,95.61500000000001,0.06499999999999773,0.06803077084096261,-0.015,-0.016,95.61,96.86500000000001,95.53,95.61,95.62,1,1,983956682,IBV2026,2026-10-01,2026-07-30,2026-07-30T22:53:22Z,4.390000000000001,4.3799999999999955
2026-11-28,2026-07-30,2026-07-30,95.56,95.54,0.09000000000000341,0.09429514380009787,-0.02,-0.021,95.535,96.86500000000001,95.41,95.535,95.535,75,75,990482019,IBX2026,2026-11-01,2026-07-30,2026-07-30T22:53:22Z,4.465000000000003,4.465000000000003
2026-12-29,2026-07-29,2026-07-30,95.54,95.515,0.11999999999999034,0.12576638893254763,0.08,0.084,95.535,96.86500000000001,95.535,95.535,95.51,0,0,996839036,IBZ2026,2026-12-01,2026-07-30,2026-07-30T22:53:22Z,4.489999999999995,4.489999999999995
2027-01-27,2026-07-23,2026-07-30,95.535,95.505,0,0,-0.055,-0.058,95.405,95.415,95.405,95.405,95.5,0,0,1004041830,IBF2027,2027-01-01,2026-07-30,2026-07-30T22:53:22Z,4.5,4.5
2027-02-24,2026-07-23,2026-07-30,95.51,95.48,-0.060000000000002274,-0.06289308176100866,-0.06,-0.063,95.34,95.52,95.34,95.34,95.47500000000001,0,0,1010033436,IBG2027,2027-02-01,2026-07-30,2026-07-30T22:53:22Z,4.5249999999999915,4.5249999999999915
2027-03-29,NA,2026-07-30,95.5,95.47,NA,0,NA,NA,NA,NA,NA,NA,95.46000000000001,0,0,1016946091,IBH2027,2027-03-01,2026-07-30,2026-07-30T22:53:22Z,4.539999999999992,4.539999999999992
2027-04-28,NA,2026-07-30,95.505,95.47500000000001,NA,0,NA,NA,NA,NA,NA,NA,95.455,0,0,1026315950,IBJ2027,2027-04-01,2026-07-30,2026-07-30T22:53:22Z,4.545000000000002,4.545000000000002
2027-05-29,2026-07-30,2026-07-30,95.525,95.495,0.09999999999999432,0.10481630941773944,-0.02,-0.021,95.505,95.51,95.505,95.505,95.485,75,75,1033478754,IBK2027,2027-05-01,2026-07-30,2026-07-30T22:53:22Z,4.4950000000000045,4.515000000000001
2027-06-28,NA,2026-07-30,95.53,95.5,NA,0,NA,NA,NA,NA,NA,NA,95.48,0,0,1041047069,IBM2027,2027-06-01,2026-07-30,2026-07-30T22:53:22Z,4.519999999999996,4.519999999999996
2027-07-28,NA,2026-07-30,95.53,95.5,NA,0,NA,NA,NA,NA,NA,NA,95.485,0,0,1048381155,IBN2027,2027-07-01,2026-07-30,2026-07-30T22:53:22Z,4.515000000000001,4.515000000000001
2027-08-29,NA,2026-07-30,95.545,95.515,NA,0,NA,NA,NA,NA,NA,NA,95.5,0,0,1056394462,IBQ2027,2027-08-01,2026-07-30,2026-07-30T22:53:22Z,4.5,4.5
2027-09-28,NA,2026-07-30,95.565,95.535,NA,0,NA,NA,NA,NA,NA,NA,95.515,0,0,1065438498,IBU2027,2027-09-01,2026-07-30,2026-07-30T22:53:22Z,4.484999999999999,4.484999999999999
2027-10-27,2026-06-17,2026-07-30,95.58500000000001,95.555,0.2650000000000148,0.27755957056822705,0.05,0.052000000000000005,95.74000000000001,95.74000000000001,95.74000000000001,95.74000000000001,95.535,0,0,1073003941,IBV2027,2027-10-01,2026-07-30,2026-07-30T22:53:22Z,4.465000000000003,4.465000000000003
2027-11-28,NA,2026-07-30,95.61500000000001,95.58500000000001,NA,0,NA,NA,NA,NA,NA,NA,95.56,0,0,1081768076,IBX2027,2027-11-01,2026-07-30,2026-07-30T22:53:22Z,4.439999999999998,4.439999999999998
2027-12-29,NA,2026-07-30,95.635,95.605,NA,0,NA,NA,NA,NA,NA,NA,95.58,0,0,1089939586,IBZ2027,2027-12-01,2026-07-30,2026-07-30T22:53:22Z,4.420000000000002,4.420000000000002
