dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-07-29,2026-07-03,2026-07-02,95.655,95.65,0,0,-0.005,-0.005,95.65,96.075,95.65,95.65,95.655,6,6,962344067,IBN2026,2026-07-01,2026-07-02,2026-07-03T06:08:01Z,4.349999999999994,4.344999999999999
2026-08-29,2026-07-02,2026-07-02,95.625,95.61500000000001,0,0,0.005,0.005,95.62,96.15,95.60000000000001,95.62,95.61500000000001,5,5,969160575,IBQ2026,2026-08-01,2026-07-02,2026-07-03T06:08:01Z,4.3799999999999955,4.384999999999991
2026-09-28,2026-07-03,2026-07-02,95.61,95.605,0.010000000000005116,0.010460251046030456,0.01,0.01,95.61,96.86500000000001,95.52,95.61,95.60000000000001,51,51,976225343,IBU2026,2026-09-01,2026-07-02,2026-07-03T06:08:01Z,4.390000000000001,4.3999999999999915
2026-10-28,2026-07-03,2026-07-02,95.595,95.575,-0.009999999999990905,-0.01046079815889001,0.005,0.005,95.58500000000001,96.86500000000001,95.575,95.58500000000001,95.58,100,100,983956682,IBV2026,2026-10-01,2026-07-02,2026-07-03T06:08:01Z,4.414999999999992,4.420000000000002
2026-11-28,2026-06-16,2026-07-02,95.54,95.525,-0.05499999999999261,-0.05755245121120976,-0.02,-0.021,95.51,96.86500000000001,95.51,95.51,95.525,0,0,990482019,IBX2026,2026-11-01,2026-07-02,2026-07-03T06:08:01Z,4.474999999999994,4.474999999999994
2026-12-29,2026-06-05,2026-07-02,95.55,95.53,-0.09000000000000341,-0.09418166596902826,0.015,0.016,95.47,96.86500000000001,95.435,95.47,95.51,0,0,996839036,IBZ2026,2026-12-01,2026-07-02,2026-07-03T06:08:01Z,4.489999999999995,4.489999999999995
2027-01-27,2026-05-18,2026-07-02,95.56,95.53,-0.3100000000000023,-0.32440351611553186,-0.01,-0.01,95.25,95.27,95.25,95.25,95.515,0,0,1004041830,IBF2027,2027-01-01,2026-07-02,2026-07-03T06:08:01Z,4.484999999999999,4.484999999999999
2027-02-24,2026-06-23,2026-07-02,95.575,95.545,-0.05500000000000682,-0.05754642950563099,0.03,0.031,95.52,95.52,95.51,95.52,95.53,0,0,1010033436,IBG2027,2027-02-01,2026-07-02,2026-07-03T06:08:01Z,4.469999999999999,4.469999999999999
2027-03-29,NA,2026-07-02,95.58500000000001,95.555,NA,0,NA,NA,NA,NA,NA,NA,95.535,0,0,1016946091,IBH2027,2027-03-01,2026-07-02,2026-07-03T06:08:01Z,4.465000000000003,4.465000000000003
2027-04-28,NA,2026-07-02,95.595,95.565,NA,0,NA,NA,NA,NA,NA,NA,95.545,0,0,1026315950,IBJ2027,2027-04-01,2026-07-02,2026-07-03T06:08:01Z,4.454999999999998,4.454999999999998
2027-05-29,2026-06-10,2026-07-02,95.625,95.605,-0.12999999999999545,-0.13592639063153017,0.06,0.063,95.51,95.51,95.51,95.51,95.575,0,0,1033478754,IBK2027,2027-05-01,2026-07-02,2026-07-03T06:08:01Z,4.424999999999997,4.424999999999997
2027-06-28,NA,2026-07-02,95.635,95.605,NA,0,NA,NA,NA,NA,NA,NA,95.58500000000001,0,0,1041047069,IBM2027,2027-06-01,2026-07-02,2026-07-03T06:08:01Z,4.414999999999992,4.414999999999992
2027-07-28,NA,2026-07-02,95.66,95.63,NA,0,NA,NA,NA,NA,NA,NA,95.605,0,0,1048381155,IBN2027,2027-07-01,2026-07-02,2026-07-03T06:08:01Z,4.394999999999996,4.394999999999996
2027-08-29,NA,2026-07-02,95.68,95.65,NA,0,NA,NA,NA,NA,NA,NA,95.625,0,0,1056394462,IBQ2027,2027-08-01,2026-07-02,2026-07-03T06:08:01Z,4.375,4.375
2027-09-28,NA,2026-07-02,95.7,95.67,NA,0,NA,NA,NA,NA,NA,NA,95.65,0,0,1065438498,IBU2027,2027-09-01,2026-07-02,2026-07-03T06:08:01Z,4.349999999999994,4.349999999999994
2027-10-27,2026-06-17,2026-07-02,95.72500000000001,95.69500000000001,-0.01999999999999602,-0.020885547201332517,0.05,0.052000000000000005,95.74000000000001,95.74000000000001,95.74000000000001,95.74000000000001,95.675,0,0,1073003941,IBV2027,2027-10-01,2026-07-02,2026-07-03T06:08:01Z,4.325000000000003,4.325000000000003
2027-11-28,NA,2026-07-02,95.75,95.72,NA,0,NA,NA,NA,NA,NA,NA,95.7,0,0,1081768076,IBX2027,2027-11-01,2026-07-02,2026-07-03T06:08:01Z,4.299999999999997,4.299999999999997
2027-12-29,NA,2026-07-02,95.765,95.735,NA,0,NA,NA,NA,NA,NA,NA,95.715,0,0,1089939586,IBZ2027,2027-12-01,2026-07-02,2026-07-03T06:08:01Z,4.284999999999997,4.284999999999997
