dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-03-29,2026-03-06,2026-03-06,96.125,96.12,-0.015000000000000568,-0.015602246723528779,0,0,96.125,97.105,96.105,96.125,96.125,202,202,935346173,IBH2026,2026-03-01,2026-03-06,2026-03-06T05:43:04Z,3.875,3.875
2026-04-28,2026-03-06,2026-03-06,96.09,96.08500000000001,-0.03499999999999659,-0.03641281731169017,-0.005,-0.005,96.08500000000001,96.925,96.045,96.08500000000001,96.09,79,79,941648808,IBJ2026,2026-04-01,2026-03-06,2026-03-06T05:43:04Z,3.914999999999992,3.9099999999999966
2026-05-27,2026-03-06,2026-03-06,95.935,95.91,-0.03999999999999204,-0.04167752018754055,0,0,95.935,97.015,95.895,95.935,95.925,2,2,949242588,IBK2026,2026-05-01,2026-03-06,2026-03-06T05:43:04Z,4.064999999999998,4.075000000000003
2026-06-28,2026-03-02,2026-03-06,95.88,95.855,0.030000000000001137,0.03127280308558442,0.03,0.031,95.96000000000001,96.97500000000001,95.96000000000001,95.96000000000001,95.87,0,0,955528239,IBM2026,2026-06-01,2026-03-06,2026-03-06T05:43:04Z,4.1299999999999955,4.1299999999999955
2026-07-29,2026-03-05,2026-03-06,95.855,95.84,-0.045000000000001705,-0.04691409507923447,0.005,0.005,95.875,96.075,95.875,95.875,95.85000000000001,30,30,962344067,IBN2026,2026-07-01,2026-03-06,2026-03-06T05:43:04Z,4.1499999999999915,4.1499999999999915
2026-08-29,2025-12-09,2026-03-06,95.765,95.74000000000001,0.2150000000000034,0.2243088158581152,-0.105,-0.109,96.065,96.15,96.065,96.065,95.755,0,0,969160575,IBQ2026,2026-08-01,2026-03-06,2026-03-06T05:43:04Z,4.2450000000000045,4.2450000000000045
2026-09-28,2026-03-03,2026-03-06,95.72,95.69,-0.06999999999999318,-0.07305745446954358,-0.09,-0.094,95.745,96.86500000000001,95.745,95.745,95.705,0,0,976225343,IBU2026,2026-09-01,2026-03-06,2026-03-06T05:43:04Z,4.295000000000002,4.295000000000002
2026-10-28,2026-03-02,2026-03-06,95.69500000000001,95.67,-0.06999999999999318,-0.07306126709111072,-0.085,-0.089,95.74000000000001,96.86500000000001,95.74000000000001,95.74000000000001,95.685,0,0,983956682,IBV2026,2026-10-01,2026-03-06,2026-03-06T05:43:04Z,4.314999999999998,4.314999999999998
2026-11-28,2025-12-09,2026-03-06,95.65,95.625,0.2400000000000091,0.2505611525813114,-0.055,-0.057,96.025,96.86500000000001,96.025,96.025,95.64,0,0,990482019,IBX2026,2026-11-01,2026-03-06,2026-03-06T05:43:04Z,4.359999999999999,4.359999999999999
2026-12-29,2026-03-05,2026-03-06,95.65,95.62,-0.10500000000000398,-0.10961478233636493,-0.035,-0.037,95.685,96.86500000000001,95.685,95.685,95.635,30,30,996839036,IBZ2026,2026-12-01,2026-03-06,2026-03-06T05:43:04Z,4.364999999999995,4.364999999999995
2027-01-27,NA,2026-03-06,95.65,95.62,NA,0,NA,NA,NA,NA,NA,NA,95.635,0,0,1004041830,IBF2027,2027-01-01,2026-03-06,2026-03-06T05:43:04Z,NA,4.364999999999995
2027-02-24,NA,2026-03-06,95.65,95.62,NA,0,NA,NA,NA,NA,NA,NA,95.635,0,0,1010033436,IBG2027,2027-02-01,2026-03-06,2026-03-06T05:43:04Z,NA,4.364999999999995
2027-03-29,NA,2026-03-06,95.655,95.625,NA,0,NA,NA,NA,NA,NA,NA,95.64,0,0,1016946091,IBH2027,2027-03-01,2026-03-06,2026-03-06T05:43:04Z,NA,4.359999999999999
2027-04-28,NA,2026-03-06,95.66,95.63,NA,0,NA,NA,NA,NA,NA,NA,95.645,0,0,1026315950,IBJ2027,2027-04-01,2026-03-06,2026-03-06T05:43:04Z,NA,4.355000000000004
2027-05-29,NA,2026-03-06,95.67,95.64,NA,0,NA,NA,NA,NA,NA,NA,95.655,0,0,1033478754,IBK2027,2027-05-01,2026-03-06,2026-03-06T05:43:04Z,NA,4.344999999999999
2027-06-28,NA,2026-03-06,95.675,95.645,NA,0,NA,NA,NA,NA,NA,NA,95.66,0,0,1041047069,IBM2027,2027-06-01,2026-03-06,2026-03-06T05:43:04Z,NA,4.340000000000003
2027-07-28,NA,2026-03-06,95.69,95.66,NA,0,NA,NA,NA,NA,NA,NA,95.675,0,0,1048381155,IBN2027,2027-07-01,2026-03-06,2026-03-06T05:43:04Z,NA,4.325000000000003
2027-08-29,NA,2026-03-06,95.69500000000001,95.665,NA,0,NA,NA,NA,NA,NA,NA,95.68,0,0,1056394462,IBQ2027,2027-08-01,2026-03-06,2026-03-06T05:43:04Z,NA,4.319999999999993
