date,cash_rate,scrape_date,scrape_time
2024-01-01,4.314999999999998,2024-01-09,2024-01-09T12:00:00Z
2024-02-01,4.329999999999998,2024-01-09,2024-01-09T12:00:00Z
2024-03-01,4.319999999999993,2024-01-09,2024-01-09T12:00:00Z
2024-04-01,4.304999999999993,2024-01-09,2024-01-09T12:00:00Z
2024-05-01,4.25,2024-01-09,2024-01-09T12:00:00Z
2024-06-01,4.200000000000003,2024-01-09,2024-01-09T12:00:00Z
2024-07-01,4.155000000000001,2024-01-09,2024-01-09T12:00:00Z
2024-08-01,4.084999999999994,2024-01-09,2024-01-09T12:00:00Z
2024-09-01,4.049999999999997,2024-01-09,2024-01-09T12:00:00Z
2024-10-01,3.984999999999999,2024-01-09,2024-01-09T12:00:00Z
2024-11-01,3.914999999999992,2024-01-09,2024-01-09T12:00:00Z
2024-12-01,3.855000000000004,2024-01-09,2024-01-09T12:00:00Z
2025-01-01,3.8299999999999983,2024-01-09,2024-01-09T12:00:00Z
2025-02-01,3.7849999999999966,2024-01-09,2024-01-09T12:00:00Z
2025-03-01,3.75,2024-01-09,2024-01-09T12:00:00Z
2025-04-01,3.7150000000000034,2024-01-09,2024-01-09T12:00:00Z
2025-05-01,3.6700000000000017,2024-01-09,2024-01-09T12:00:00Z
2025-06-01,3.649999999999991,2024-01-09,2024-01-09T12:00:00Z
