days_to_meeting,finalrmse,source
221,0.2289340752505226,daily
222,0.2773563817545946,daily
223,0.2236626924634501,daily
224,0.2118076957997505,daily
225,0.22565644979334068,daily
226,0.2450000000000001,daily
227,0.2450000000000001,daily
228,0.24729087685917261,daily
229,0.23800856481034013,daily
230,0.2535662306643668,daily
231,0.22064411057041877,daily
232,0.2314942403891152,daily
233,0.26500000000000057,daily
234,0.26500000000000057,daily
235,0.24615704881828493,daily
236,0.2402646110714904,daily
237,0.2282738017632104,daily
238,0.21456351041125243,daily
239,0.24245538844211276,daily
240,0.07500000000000018,daily
241,0.07500000000000018,daily
242,0.19865412540005828,daily
243,0.18527526299245567,daily
244,0.20919664264542517,daily
245,0.20516409942362715,daily
246,0.21063678962341095,daily
247,0.33499999999999996,daily
248,0.33499999999999996,daily
249,0.21800531137904341,daily
250,0.23443701560486338,daily
251,0.21345862206370003,daily
252,0.24369353389357518,daily
253,0.22543974122384988,daily
254,0.4149999999999996,daily
255,0.4149999999999996,daily
256,0.21193373750044897,daily
257,0.3094753625088787,daily
258,0.24913421511879486,daily
259,0.27609252676110846,daily
260,0.2561842250078196,daily
261,0.3561074276113878,daily
262,0.3561074276113878,daily
263,0.23114157689915574,daily
264,0.28731826554238643,daily
265,0.28595391736631726,daily
266,0.29917445937589204,daily
267,0.3021520036890916,daily
268,0.5614712815451917,daily
269,0.5614712815451917,daily
270,0.29460526455710645,daily
271,0.3366206493049134,daily
272,0.33109126924675825,daily
273,0.3158533414946451,daily
274,0.6537999618600053,quarterly_anchor
275,0.5944430166130307,daily
276,0.5944430166130307,daily
277,0.32920466929512976,daily
278,0.36611287380210533,daily
279,0.3477202539398566,daily
280,0.3062066295820523,daily
281,0.34231114950717445,daily
282,0.5906035048998606,daily
283,0.5906035048998606,daily
284,0.28811278062414164,daily
285,0.3479528040498508,daily
286,0.30373634822123163,daily
287,0.30374154897120614,daily
288,0.31885914420971884,daily
289,0.5536244214266559,daily
290,0.5536244214266559,daily
291,0.26050226212343836,daily
292,0.3139879958508945,daily
293,0.3384523600154104,daily
294,0.3789878865898201,daily
295,0.37560720071741033,daily
296,0.7052747691502934,daily
297,0.7052747691502934,daily
298,0.3391124035216382,daily
299,0.3761577366705931,daily
300,0.40295264403318426,daily
301,0.4118859065323808,daily
302,0.4044749683231332,daily
303,0.8317752100177064,daily
304,0.8317752100177064,daily
305,0.33601232970575007,daily
306,0.3257439038709559,daily
307,0.4119487658851339,daily
308,0.42165702040537817,daily
309,0.4158224781482278,daily
310,0.7580127527511215,daily
311,0.7580127527511215,daily
312,0.4068129474261461,daily
313,0.47577062993389246,daily
314,0.4711646780544512,daily
315,0.45234310618631596,daily
316,0.4880744478731364,daily
317,0.841600657477563,daily
318,0.841600657477563,daily
319,0.3806229230141163,daily
320,0.43150006685087405,daily
321,0.47424433819255285,daily
322,0.4835250030468213,daily
323,0.47065959519110506,daily
324,0.7305933661529278,daily
325,0.7305933661529278,daily
326,0.38845226385016995,daily
327,0.41242002591748295,daily
328,0.4149096287144961,daily
329,0.4033675211799501,daily
330,0.350888980908602,daily
331,0.5033885179461285,daily
332,0.5033885179461285,daily
333,0.307524679613571,daily
334,0.32681740373581036,daily
335,0.354360203530468,daily
336,0.37937997662853334,daily
337,0.3882224448259882,daily
338,0.6236719223010333,daily
339,0.6236719223010333,daily
340,0.297623160144747,daily
341,0.3725107860375132,daily
342,0.38609306798083975,daily
343,0.44921901926869406,daily
344,0.38812418710431423,daily
345,0.7220976388273261,daily
346,0.7220976388273261,daily
347,0.359022241228828,daily
348,0.3269606411627632,daily
349,0.4059035504989984,daily
350,0.38125068305949755,daily
351,0.3754458887571096,daily
352,0.6041885053524271,daily
353,0.6041885053524271,daily
354,0.342506242739882,daily
355,0.4468328718711459,daily
356,0.433018475356422,daily
357,0.4530807244378675,daily
358,0.47761498241635125,daily
359,0.7936072706320171,daily
360,0.7936072706320171,daily
361,0.3648508312067517,daily
362,0.4496645575156153,daily
363,0.4885299770347152,daily
364,0.48122425719646095,daily
365,0.7108299460137956,quarterly_anchor
366,0.7857109307287674,daily
367,0.7857109307287674,daily
368,0.39045155826919026,daily
369,0.40287443763534914,daily
370,0.4454632420301358,daily
371,0.45579178782219487,daily
372,0.42089876363654083,daily
373,0.6457795676544742,daily
374,0.6457795676544742,daily
375,0.33227823210287627,daily
376,0.4333919374291263,daily
377,0.42170572000592266,daily
378,0.3667188191348961,daily
379,0.4491751699875374,daily
380,0.6848174939354278,daily
381,0.6848174939354278,daily
382,0.36934114147747,daily
383,0.4206588239343693,daily
384,0.41003556756294446,daily
385,0.45749772312730347,daily
386,0.4706046642352803,daily
387,0.700383823342601,daily
388,0.700383823342601,daily
389,0.37943934792005934,daily
390,0.4616671295008316,daily
391,0.4648566087157057,daily
392,0.4651405908225699,daily
393,0.44090207853574814,daily
394,0.7261456465475777,daily
395,0.7261456465475777,daily
396,0.3651597823784365,daily
397,0.37608249557545437,daily
398,0.47863186431584515,daily
399,0.4711177380198309,daily
400,0.4917897343958531,daily
401,0.7150314678390033,daily
402,0.7150314678390033,daily
403,0.38380372982854494,daily
404,0.5066424167611103,daily
405,0.5234296241411742,daily
406,0.5329248807959984,daily
407,0.5672285379683522,daily
408,0.8584178760953197,daily
409,0.8584178760953197,daily
410,0.4108917512557304,daily
411,0.47512968154569535,daily
412,0.5423861099877954,daily
413,0.5372490469619648,daily
414,0.5283661924587274,daily
415,0.7626204822846024,daily
416,0.7626204822846024,daily
417,0.45082794205032956,daily
418,0.49014403645315113,daily
419,0.5356021311170669,daily
420,0.4885870523175037,daily
421,0.5350870787247459,daily
422,0.7328778888737192,daily
423,0.7328778888737192,daily
424,0.4045731228896778,daily
425,0.4683043119291441,daily
426,0.46356478262731177,daily
427,0.5255217187929311,daily
428,0.5230473892761265,daily
429,0.7583304029247406,daily
430,0.7462070758174298,daily
431,0.3896805009968336,daily
432,0.5160143731848301,daily
433,0.48768684782190097,daily
434,0.5190255292372418,daily
435,0.5075369444680848,daily
436,0.7063816249025732,daily
437,0.7063816249025732,daily
438,0.4099558428702383,daily
439,0.4880390792315126,daily
440,0.504451021738814,daily
441,0.4691932519680004,daily
442,0.48181148563759674,daily
443,0.679463023276469,daily
444,0.679463023276469,daily
445,0.40707471234230663,daily
446,0.39540399363412915,daily
447,0.5473379633771498,daily
448,0.5756033623678989,daily
449,0.5684282842062971,daily
450,0.7980366532935687,daily
451,0.7980366532935687,daily
452,0.45385662200008986,daily
453,0.5683816431832517,daily
454,0.5855034463726794,daily
455,0.5998094935656058,daily
456,0.7602786720875014,quarterly_anchor
457,0.7666028958985217,daily
458,0.7666028958985217,daily
459,0.5038520968338537,daily
460,0.5132598896131614,daily
461,0.5838539343591573,daily
462,0.5536319475367485,daily
463,0.5798900757902306,daily
464,0.7581721440411799,daily
465,0.7581721440411799,daily
466,0.46631018893832166,daily
467,0.4866678417928345,daily
468,0.5210104826938932,daily
469,0.4434523649728336,daily
470,0.5316718913013928,daily
471,0.6953566231318522,daily
472,0.6639126448562337,daily
473,0.41699148258894225,daily
474,0.48200276624379107,daily
475,0.44978003883379963,daily
476,0.5068378590679818,daily
477,0.5069763308084501,daily
478,0.7073807319965674,daily
479,0.7073807319965674,daily
480,0.39343689785350927,daily
481,0.4455601683682714,daily
482,0.5298040276293747,daily
483,0.5387431955665243,daily
484,0.5396758286230723,daily
485,0.7439113970538872,daily
486,0.7439113970538872,daily
487,0.44719082015357753,daily
488,0.5796268693671017,daily
489,0.5525622136918157,daily
490,0.4980017763329455,daily
491,0.49048991543441267,daily
492,0.6427507848525515,daily
493,0.6427507848525515,daily
494,0.4017116157422167,daily
495,0.5158747771642701,daily
496,0.5673013037449927,daily
497,0.5636725873361993,daily
498,0.6269170599050565,daily
499,0.7895753077868293,daily
500,0.7895753077868293,daily
501,0.4529988962458961,daily
502,0.4870606995026389,daily
503,0.6081602819746029,daily
504,0.5893118542320881,daily
505,0.6057784248386533,daily
506,0.8995033351800311,daily
507,0.8426179442665576,daily
508,0.44331744511451054,daily
509,0.535316225738078,daily
510,0.5968196963907942,daily
511,0.536311994603472,daily
512,0.6302697835054444,daily
513,0.8076483351888573,daily
514,0.8076483351888573,daily
515,0.4419585505845345,daily
516,0.5732542669230248,daily
517,0.5259515186782902,daily
518,0.5489825299422719,daily
519,0.6007194760359356,daily
520,0.7396418052003277,daily
521,0.7396418052003277,daily
522,0.452631196450268,daily
523,0.5185556864985676,daily
524,0.5484789573599581,daily
525,0.5846045672076127,daily
526,0.5853844890326362,daily
527,0.8188253782095422,daily
528,0.8188253782095422,daily
529,0.45338771119943927,daily
530,0.7157932662438229,daily
531,0.7364034220452804,daily
532,0.790189850605536,daily
533,0.7962882643867111,daily
534,1.3399999999999999,daily
535,1.3399999999999999,daily
536,0.5623007583643678,daily
537,1.2999999999999998,daily
538,1.2199999999999998,daily
539,1.0949999999999998,daily
540,1.0632093549537083,interpolated
541,1.0314187099074166,interpolated
542,0.9996280648611251,interpolated
543,0.9678374198148335,interpolated
544,0.936046774768542,interpolated
545,0.9042561297222504,interpolated
546,0.8724654846759589,interpolated
547,0.8406748396296674,interpolated
548,0.8088841945833758,quarterly_anchor
549,0.8094043718190922,interpolated
550,0.8099245490548085,interpolated
551,0.8104447262905249,interpolated
552,0.8109649035262412,interpolated
553,0.8114850807619576,interpolated
554,0.8120052579976739,interpolated
555,0.8125254352333903,interpolated
556,0.8130456124691066,interpolated
557,0.813565789704823,interpolated
558,0.8140859669405393,interpolated
559,0.8146061441762557,interpolated
560,0.8151263214119719,interpolated
561,0.8156464986476883,interpolated
562,0.8161666758834047,interpolated
563,0.816686853119121,interpolated
564,0.8172070303548374,interpolated
565,0.8177272075905537,interpolated
566,0.8182473848262701,interpolated
567,0.8187675620619864,interpolated
568,0.8192877392977028,interpolated
569,0.8198079165334191,interpolated
570,0.8203280937691355,interpolated
571,0.8208482710048518,interpolated
572,0.8213684482405682,interpolated
573,0.8218886254762845,interpolated
574,0.8224088027120009,interpolated
575,0.8229289799477173,interpolated
576,0.8234491571834336,interpolated
577,0.82396933441915,interpolated
578,0.8244895116548663,interpolated
579,0.8250096888905827,interpolated
580,0.825529866126299,interpolated
581,0.8260500433620154,interpolated
582,0.8265702205977317,interpolated
583,0.8270903978334481,interpolated
584,0.8276105750691644,interpolated
585,0.8281307523048808,interpolated
586,0.828650929540597,interpolated
587,0.8291711067763134,interpolated
588,0.8296912840120299,interpolated
589,0.8302114612477461,interpolated
590,0.8307316384834625,interpolated
591,0.8312518157191788,interpolated
592,0.8317719929548952,interpolated
593,0.8322921701906115,interpolated
594,0.8328123474263279,interpolated
595,0.8333325246620442,interpolated
596,0.8338527018977606,interpolated
597,0.8343728791334769,interpolated
598,0.8348930563691933,interpolated
599,0.8354132336049096,interpolated
600,0.835933410840626,interpolated
601,0.8364535880763424,interpolated
602,0.8369737653120587,interpolated
603,0.8374939425477751,interpolated
604,0.8380141197834914,interpolated
605,0.8385342970192078,interpolated
606,0.8390544742549241,interpolated
607,0.8395746514906405,interpolated
608,0.8400948287263568,interpolated
609,0.8406150059620732,interpolated
610,0.8411351831977895,interpolated
611,0.8416553604335059,interpolated
612,0.8421755376692222,interpolated
613,0.8426957149049386,interpolated
614,0.843215892140655,interpolated
615,0.8437360693763712,interpolated
616,0.8442562466120876,interpolated
617,0.8447764238478039,interpolated
618,0.8452966010835203,interpolated
619,0.8458167783192366,interpolated
620,0.846336955554953,interpolated
621,0.8468571327906693,interpolated
622,0.8473773100263857,interpolated
623,0.847897487262102,interpolated
624,0.8484176644978184,interpolated
625,0.8489378417335347,interpolated
626,0.8494580189692511,interpolated
627,0.8499781962049675,interpolated
628,0.8504983734406838,interpolated
629,0.8510185506764002,interpolated
630,0.8515387279121165,interpolated
631,0.8520589051478329,interpolated
632,0.8525790823835492,interpolated
633,0.8530992596192656,interpolated
634,0.8536194368549819,interpolated
635,0.8541396140906983,interpolated
636,0.8546597913264146,interpolated
637,0.855179968562131,interpolated
638,0.8557001457978473,interpolated
639,0.8562203230335637,quarterly_anchor
640,0.8567117897187427,interpolated
641,0.8572032564039219,interpolated
642,0.857694723089101,interpolated
643,0.8581861897742801,interpolated
644,0.8586776564594593,interpolated
645,0.8591691231446383,interpolated
646,0.8596605898298174,interpolated
647,0.8601520565149966,interpolated
648,0.8606435232001757,interpolated
649,0.8611349898853548,interpolated
650,0.8616264565705339,interpolated
651,0.862117923255713,interpolated
652,0.8626093899408921,interpolated
653,0.8631008566260713,interpolated
654,0.8635923233112504,interpolated
655,0.8640837899964294,interpolated
656,0.8645752566816086,interpolated
657,0.8650667233667877,interpolated
658,0.8655581900519668,interpolated
659,0.866049656737146,interpolated
660,0.866541123422325,interpolated
661,0.8670325901075041,interpolated
662,0.8675240567926833,interpolated
663,0.8680155234778624,interpolated
664,0.8685069901630416,interpolated
665,0.8689984568482206,interpolated
666,0.8694899235333997,interpolated
667,0.8699813902185789,interpolated
668,0.870472856903758,interpolated
669,0.870964323588937,interpolated
670,0.8714557902741162,interpolated
671,0.8719472569592953,interpolated
672,0.8724387236444744,interpolated
673,0.8729301903296536,interpolated
674,0.8734216570148327,interpolated
675,0.8739131237000117,interpolated
676,0.8744045903851909,interpolated
677,0.87489605707037,interpolated
678,0.8753875237555491,interpolated
679,0.8758789904407283,interpolated
680,0.8763704571259073,interpolated
681,0.8768619238110864,interpolated
682,0.8773533904962656,interpolated
683,0.8778448571814447,interpolated
684,0.8783363238666237,interpolated
685,0.8788277905518029,interpolated
686,0.879319257236982,interpolated
687,0.8798107239221611,interpolated
688,0.8803021906073403,interpolated
689,0.8807936572925193,interpolated
690,0.8812851239776984,interpolated
691,0.8817765906628776,interpolated
692,0.8822680573480567,interpolated
693,0.8827595240332358,interpolated
694,0.883250990718415,interpolated
695,0.883742457403594,interpolated
696,0.8842339240887731,interpolated
697,0.8847253907739523,interpolated
698,0.8852168574591314,interpolated
699,0.8857083241443104,interpolated
700,0.8861997908294896,interpolated
701,0.8866912575146687,interpolated
702,0.8871827241998478,interpolated
703,0.887674190885027,interpolated
704,0.888165657570206,interpolated
705,0.8886571242553851,interpolated
706,0.8891485909405643,interpolated
707,0.8896400576257434,interpolated
708,0.8901315243109225,interpolated
709,0.8906229909961016,interpolated
710,0.8911144576812807,interpolated
711,0.8916059243664599,interpolated
712,0.892097391051639,interpolated
713,0.8925888577368181,interpolated
714,0.8930803244219973,interpolated
715,0.8935717911071763,interpolated
716,0.8940632577923554,interpolated
717,0.8945547244775346,interpolated
718,0.8950461911627137,interpolated
719,0.8955376578478927,interpolated
720,0.8960291245330719,interpolated
721,0.896520591218251,interpolated
722,0.8970120579034301,interpolated
723,0.8975035245886093,interpolated
724,0.8979949912737883,interpolated
725,0.8984864579589674,interpolated
726,0.8989779246441466,interpolated
727,0.8994693913293257,interpolated
728,0.8999608580145048,interpolated
729,0.900452324699684,interpolated
730,0.900943791384863,quarterly_anchor
731,0.9014040934766265,interpolated
732,0.9018643955683899,interpolated
733,0.9023246976601534,interpolated
734,0.9027849997519168,interpolated
735,0.9032453018436803,interpolated
736,0.9037056039354437,interpolated
737,0.9041659060272073,interpolated
738,0.9046262081189707,interpolated
739,0.9050865102107342,interpolated
740,0.9055468123024976,interpolated
741,0.9060071143942611,interpolated
742,0.9064674164860245,interpolated
743,0.906927718577788,interpolated
744,0.9073880206695514,interpolated
745,0.9078483227613149,interpolated
746,0.9083086248530783,interpolated
747,0.9087689269448418,interpolated
748,0.9092292290366052,interpolated
749,0.9096895311283687,interpolated
750,0.9101498332201321,interpolated
751,0.9106101353118956,interpolated
752,0.911070437403659,interpolated
753,0.9115307394954225,interpolated
754,0.9119910415871859,interpolated
755,0.9124513436789494,interpolated
756,0.9129116457707128,interpolated
757,0.9133719478624763,interpolated
758,0.9138322499542397,interpolated
759,0.9142925520460032,interpolated
760,0.9147528541377666,interpolated
761,0.9152131562295301,interpolated
762,0.9156734583212937,interpolated
763,0.916133760413057,interpolated
764,0.9165940625048206,interpolated
765,0.917054364596584,interpolated
766,0.9175146666883475,interpolated
767,0.9179749687801109,interpolated
768,0.9184352708718744,interpolated
769,0.9188955729636378,interpolated
770,0.9193558750554013,interpolated
771,0.9198161771471647,interpolated
772,0.9202764792389282,interpolated
773,0.9207367813306916,interpolated
774,0.9211970834224551,interpolated
775,0.9216573855142185,interpolated
776,0.922117687605982,interpolated
777,0.9225779896977454,interpolated
778,0.9230382917895089,interpolated
779,0.9234985938812723,interpolated
780,0.9239588959730358,interpolated
781,0.9244191980647992,interpolated
782,0.9248795001565627,interpolated
783,0.9253398022483261,interpolated
784,0.9258001043400896,interpolated
785,0.926260406431853,interpolated
786,0.9267207085236165,interpolated
787,0.9271810106153799,interpolated
788,0.9276413127071435,interpolated
789,0.9281016147989068,interpolated
790,0.9285619168906704,interpolated
791,0.9290222189824338,interpolated
792,0.9294825210741973,interpolated
793,0.9299428231659608,interpolated
794,0.9304031252577242,interpolated
795,0.9308634273494877,interpolated
796,0.9313237294412511,interpolated
797,0.9317840315330146,interpolated
798,0.932244333624778,interpolated
799,0.9327046357165415,interpolated
800,0.9331649378083049,interpolated
801,0.9336252399000684,interpolated
802,0.9340855419918318,interpolated
803,0.9345458440835953,interpolated
804,0.9350061461753587,interpolated
805,0.9354664482671222,interpolated
806,0.9359267503588856,interpolated
807,0.9363870524506491,interpolated
808,0.9368473545424125,interpolated
809,0.937307656634176,interpolated
810,0.9377679587259394,interpolated
811,0.9382282608177029,interpolated
812,0.9386885629094663,interpolated
813,0.9391488650012298,interpolated
814,0.9396091670929932,interpolated
815,0.9400694691847568,interpolated
816,0.9405297712765202,interpolated
817,0.9409900733682837,interpolated
818,0.9414503754600471,interpolated
819,0.9419106775518106,interpolated
820,0.942370979643574,interpolated
821,0.9428312817353375,quarterly_anchor
822,0.9432514458777568,interpolated
823,0.9436716100201761,interpolated
824,0.9440917741625954,interpolated
825,0.9445119383050147,interpolated
826,0.944932102447434,interpolated
827,0.9453522665898533,interpolated
828,0.9457724307322726,interpolated
829,0.9461925948746919,interpolated
830,0.9466127590171112,interpolated
831,0.9470329231595305,interpolated
832,0.9474530873019498,interpolated
833,0.9478732514443691,interpolated
834,0.9482934155867884,interpolated
835,0.9487135797292077,interpolated
836,0.949133743871627,interpolated
837,0.9495539080140463,interpolated
838,0.9499740721564656,interpolated
839,0.9503942362988849,interpolated
840,0.9508144004413042,interpolated
841,0.9512345645837235,interpolated
842,0.9516547287261428,interpolated
843,0.9520748928685621,interpolated
844,0.9524950570109814,interpolated
845,0.9529152211534005,interpolated
846,0.9533353852958198,interpolated
847,0.9537555494382391,interpolated
848,0.9541757135806584,interpolated
849,0.9545958777230777,interpolated
850,0.955016041865497,interpolated
851,0.9554362060079163,interpolated
852,0.9558563701503356,interpolated
853,0.9562765342927549,interpolated
854,0.9566966984351742,interpolated
855,0.9571168625775935,interpolated
856,0.9575370267200128,interpolated
857,0.9579571908624321,interpolated
858,0.9583773550048514,interpolated
859,0.9587975191472707,interpolated
860,0.95921768328969,interpolated
861,0.9596378474321093,interpolated
862,0.9600580115745286,interpolated
863,0.9604781757169479,interpolated
864,0.9608983398593672,interpolated
865,0.9613185040017865,interpolated
866,0.9617386681442058,interpolated
867,0.9621588322866251,interpolated
868,0.9625789964290444,interpolated
869,0.9629991605714637,interpolated
870,0.963419324713883,interpolated
871,0.9638394888563023,interpolated
872,0.9642596529987216,interpolated
873,0.9646798171411409,interpolated
874,0.9650999812835602,interpolated
875,0.9655201454259795,interpolated
876,0.9659403095683988,interpolated
877,0.9663604737108181,interpolated
878,0.9667806378532374,interpolated
879,0.9672008019956567,interpolated
880,0.967620966138076,interpolated
881,0.9680411302804953,interpolated
882,0.9684612944229146,interpolated
883,0.9688814585653339,interpolated
884,0.9693016227077532,interpolated
885,0.9697217868501725,interpolated
886,0.9701419509925918,interpolated
887,0.9705621151350111,interpolated
888,0.9709822792774304,interpolated
889,0.9714024434198497,interpolated
890,0.9718226075622689,interpolated
891,0.9722427717046882,interpolated
892,0.9726629358471075,interpolated
893,0.9730830999895268,interpolated
894,0.9735032641319461,interpolated
895,0.9739234282743654,interpolated
896,0.9743435924167847,interpolated
897,0.974763756559204,interpolated
898,0.9751839207016233,interpolated
899,0.9756040848440426,interpolated
900,0.9760242489864619,interpolated
901,0.9764444131288812,interpolated
902,0.9768645772713005,interpolated
903,0.9772847414137198,interpolated
904,0.9777049055561391,interpolated
905,0.9781250696985584,interpolated
906,0.9785452338409777,interpolated
907,0.978965397983397,interpolated
908,0.9793855621258163,interpolated
909,0.9798057262682356,interpolated
910,0.9802258904106549,interpolated
911,0.9806460545530742,interpolated
912,0.9810662186954935,interpolated
913,0.9814863828379128,quarterly_anchor
914,0.9818746082407172,interpolated
915,0.9822628336435214,interpolated
916,0.9826510590463258,interpolated
917,0.9830392844491301,interpolated
918,0.9834275098519345,interpolated
919,0.9838157352547388,interpolated
920,0.9842039606575431,interpolated
921,0.9845921860603475,interpolated
922,0.9849804114631517,interpolated
923,0.9853686368659561,interpolated
924,0.9857568622687605,interpolated
925,0.9861450876715647,interpolated
926,0.9865333130743691,interpolated
927,0.9869215384771735,interpolated
928,0.9873097638799778,interpolated
929,0.9876979892827821,interpolated
930,0.9880862146855864,interpolated
931,0.9884744400883908,interpolated
932,0.9888626654911951,interpolated
933,0.9892508908939994,interpolated
934,0.9896391162968038,interpolated
935,0.990027341699608,interpolated
