"date","month_label","bucket","probability"
2025-12-01,"Dec 2025","8%",5.37
2025-12-01,"Dec 2025","9%",7.35
2025-12-01,"Dec 2025","10%",9.26
2025-12-01,"Dec 2025","11%",10.74
2025-12-01,"Dec 2025","12%",11.47
2025-12-01,"Dec 2025","13%",11.28
2025-12-01,"Dec 2025","14%",10.22
2025-12-01,"Dec 2025","15%",8.53
2025-12-01,"Dec 2025","16%",6.55
2025-12-01,"Dec 2025","17%",4.63
2025-12-01,"Dec 2025","18%",3.02
2025-12-01,"Dec 2025","19%",1.81
2025-12-01,"Dec 2025","20%",1
2025-12-01,"Dec 2025","21%",0.51
