model,r.squared,adj.r.squared,sigma,df,logLik,AIC,BIC
baseline,0.2515904192434129,0.2512982999691129,0.2204732839436389,2,478.51764432153163,-949.0352886430633,-922.8661847559284
year_fixed_effects,0.2831904755333751,0.2824906029260069,0.21583176287228895,5,589.1076672920201,-1164.2153345840402,-1118.4194027815543
meeting_fixed_effects,0.3172346113829653,0.3150967941191939,0.21087066171010183,16,713.8446287180493,-1391.6892574360986,-1273.928289943992
