days_to_meeting,finalrmse
1,0.11232910800059184
2,0.11303897385605104
3,0.11374883971151022
4,0.11445870556696941
5,0.11517665939447655
6,0.115898608981372
7,0.11662452539167432
8,0.1173543796894022
9,0.11809201330870968
10,0.11882964692801717
11,0.11956728054732466
12,0.12031259703494043
13,0.12106170673007469
14,0.12181458069674604
15,0.12257118999897303
16,0.12333517351904001
17,0.12409915703910701
18,0.124863140559174
19,0.12563440184380964
20,0.12640925378409393
21,0.12718766744404544
22,0.1279696138876828
23,0.1287585294454205
24,0.12954744500315818
25,0.13033636056089587
26,0.13113214877946258
27,0.13193132510180805
28,0.13273386059195094
29,0.13353972631390987
30,0.13435215604622947
31,0.13516458577854906
32,0.13597701551086866
33,0.1367959128002776
34,0.13761799564159552
35,0.13844323509884102
36,0.1392716022360327
37,0.1401061282798454
38,0.1409406543236581
39,0.1417751803674708
40,0.14261576886463317
41,0.1434593403618347
42,0.144305865923094
43,0.14515531661242964
44,0.14601052110464666
45,0.14686572559686367
46,0.1477209300890807
47,0.14858179193090765
48,0.14944543422090403
49,0.1503118280230883
50,0.15118094440147914
51,0.15205540947901164
52,0.15292987455654417
53,0.15380433963407666
54,0.15468405695747953
55,0.1555663521771819
56,0.1564511963572024
57,0.15733856056155954
58,0.15823086836131875
59,0.159123176161078
60,0.1600154839608372
61,0.1609126389027271
62,0.16181216918904667
63,0.16271404588381455
64,0.1636182400510493
65,0.16452697270994643
66,0.16543570536884353
67,0.16634443802774065
68,0.16725761272502884
69,0.16817296021487685
70,0.16909008549015214
71,0.17000866355007338
72,0.17093040075777144
73,0.1718521379654695
74,0.17277387517316756
75,0.17369902510712731
76,0.17462600819346044
77,0.17555490050571232
78,0.1764857781174285
79,0.1774208799065581
80,0.17835598169568773
81,0.17929108348481734
82,0.18023066302984533
83,0.1811726082420649
84,0.1821169951950216
85,0.1830638999622609
86,0.18401609393655027
87,0.18496828791083966
88,0.18592048188512902
89,0.18687821864495335
90,0.18783885358678767
91,0.18880246278417742
92,0.189769122310668
93,0.19074213607384533
94,0.19171514983702267
95,0.1926881636002
96,0.19366778517854896
97,0.19465083745372613
98,0.19563739649927708
99,0.19662753838874725
100,0.19762509954454072
101,0.1986226607003342
102,0.19962022185612768
103,0.20062545585672942
104,0.20163465306897774
105,0.2026478895664181
106,0.20366524142259598
107,0.20469107757473384
108,0.2057169137268717
109,0.20674274987900956
110,0.20777732390559228
111,0.20881639365863988
112,0.2098600352116979
113,0.2109083246383117
114,0.21196616339052213
115,0.21302400214273254
116,0.21408184089494298
117,0.21514948255123492
118,0.21622215244881002
119,0.21729992666121387
120,0.21838288126199182
121,0.219476450218003
122,0.2205700191740142
123,0.22166358813002537
124,0.2227680250197547
125,0.22387802266558554
126,0.2249936571410634
127,0.2261150045197337
128,0.22724803128327387
129,0.228381058046814
130,0.22951408481035415
131,0.23065904453724909
132,0.23181009753506385
133,0.23296731987734395
134,0.23413078763763479
135,0.2353069998124321
136,0.23648321198722946
137,0.2376594241620268
138,0.23884272181470687
139,0.24002097293651917
140,0.24119448267142596
141,0.24236355616338953
142,0.24352477431600794
143,0.24468599246862632
144,0.24584721062124473
145,0.24700159058105906
146,0.24815306001774193
147,0.24930192407525562
148,0.25044848789756247
149,0.25159146839599683
150,0.2527344488944312
151,0.25387742939286556
152,0.2550178437139685
153,0.2561574835196764
154,0.2572966539539515
155,0.2584356601607561
156,0.2595753550591609
157,0.26071504995756567
158,0.2618547448559705
159,0.26299614559251666
160,0.264138907821404
161,0.26528333668659493
162,0.2664297373320518
163,0.2675810986845815
164,0.2687324600371112
165,0.26988382138964095
166,0.2710411605957847
167,0.27220199730200606
168,0.2733666366522673
169,0.2745353837905309
170,0.27571336365133997
171,0.27689134351214906
172,0.27806932337295814
173,0.27925755310285405
174,0.28045141634056386
175,0.2816512182300499
176,0.2828572639152746
177,0.2840768143385176
178,0.28529636476176057
179,0.2865159151850036
180,0.28774998749280606
181,0.28899182931615874
182,0.29024174579902406
183,0.29150004208536434
184,0.2927761151251957
185,0.2940521881650271
186,0.29532826120485844
187,0.29662312814472186
188,0.297927900607872
189,0.2992428837382712
190,0.3005683826798815
191,0.30191593039045567
192,0.3032634781010299
193,0.30461102581160404
194,0.30598163943768303
195,0.30736429459478504
196,0.30875929642687233
197,0.31016695007790734
198,0.3116009245133788
199,0.3130348989488503
200,0.3144688733843217
201,0.31593018575077075
202,0.3174056756559791
203,0.31889564824390915
204,0.3204019152185704
205,0.32194294327289685
206,0.3234839713272233
207,0.3250249993815497
208,0.3265994832115418
209,0.32819004227736687
210,0.32979628498782515
211,0.3314178197517167
212,0.3330686333184752
213,0.3347194468852337
214,0.3363702604519922
215,0.33804904751761805
216,0.3397411686806779
217,0.3414462323499716
218,0.3431638469342996
219,0.34490525804469624
220,0.34664666915509285
221,0.3483880802654895
222,0.3501519825979552
223,0.3519264778894557
224,0.35371117454879114
225,0.35550568098476165
226,0.3573185016700025
227,0.3591313223552434
228,0.3609441430404843
229,0.362773972670996
230,0.36461165412214336
231,0.3664567958027265
232,0.3683090061215455
233,0.3701740484128367
234,0.37203909070412794
235,0.37390413299541914
236,0.37578070195518287
237,0.37766238159718324
238,0.37954878033022016
239,0.3814395065630939
240,0.3833375824916415
241,0.38523565842018914
242,0.38713373434873677
243,0.38903785466895874
244,0.3909443445330181
245,0.3928528123497149
