"meeting_date","scrape_time","scrape_datetime_aest","move","diff_bps","bucket_rate","probability"
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","0.10%",-350,0.1,0
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","0.35%",-325,0.35,0
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","0.60%",-300,0.6,0
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","0.85%",-275,0.85,0.014606221636405
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","1.10%",-250,1.1,0.0199446800054227
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","1.35%",-225,1.35,0.0263589823772944
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","1.60%",-200,1.6,0.0337165106169476
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","1.85%",-175,1.85,0.0417415961354381
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","2.10%",-150,2.1,0.0500158846993061
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","2.35%",-125,2.35,0.0580041885176036
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","2.60%",-100,2.6,0.0651063384026651
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","2.85%",-75,2.85,0.070729358207989
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","3.10%",-50,3.1,0.0743684456163627
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","3.35%",-25,3.35,0.0756815884211851
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","3.60%",0,3.6,0.0745425632009796
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","3.85%",25,3.85,0.0710609408687157
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","4.10%",50,4.1,0.0655647071884429
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","4.35%",75,4.35,0.0585493165389611
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","4.60%",100,4.6,0.0506041402193536
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","4.85%",125,4.85,0.0423314134077714
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","5.10%",150,5.1,0.0342729876182195
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","5.35%",175,5.35,0.0268567593462456
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","5.60%",200,5.6,0.0203689043721196
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","5.85%",225,5.85,0.0149518218568425
2027-03-16,2025-10-01 23:19:22,"2025-10-02 09:19:22","6.10%",250,6.1,0.0106226507457293
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","0.10%",-350,0.1,0
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","0.35%",-325,0.35,0
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","0.60%",-300,0.6,0
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","0.85%",-275,0.85,0.014606221636405
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","1.10%",-250,1.1,0.0199446800054227
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","1.35%",-225,1.35,0.0263589823772944
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","1.60%",-200,1.6,0.0337165106169476
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","1.85%",-175,1.85,0.0417415961354381
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","2.10%",-150,2.1,0.0500158846993061
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","2.35%",-125,2.35,0.0580041885176036
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","2.60%",-100,2.6,0.0651063384026651
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","2.85%",-75,2.85,0.070729358207989
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","3.10%",-50,3.1,0.0743684456163627
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","3.35%",-25,3.35,0.0756815884211851
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","3.60%",0,3.6,0.0745425632009796
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","3.85%",25,3.85,0.0710609408687157
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","4.10%",50,4.1,0.0655647071884429
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","4.35%",75,4.35,0.0585493165389611
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","4.60%",100,4.6,0.0506041402193536
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","4.85%",125,4.85,0.0423314134077714
2027-03-16,2025-10-01 23:30:57,"2025-10-02 09:30:57","5.10%",150,5.1,0.0342729876182195
