"meeting_date","scrape_time","scrape_datetime_aest","move","diff_bps","bucket_rate","probability"
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","0.10%",-350,0.1,0.014350097686545
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","0.35%",-325,0.35,0.0196290827001117
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","0.60%",-300,0.6,0.0372716939515723
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","0.85%",-275,0.85,0.0490935429420072
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","1.10%",-250,1.1,0.0626933098036008
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","1.35%",-225,1.35,0.0776232717837224
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","1.60%",-200,1.6,0.093187332639439
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","1.85%",-175,1.85,0.121055252417209
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","2.10%",-150,2.1,0.140026181287922
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","2.35%",-125,2.35,0.157808510495984
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","2.60%",-100,2.6,0.173398920590721
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","2.85%",-75,2.85,0.185891066312097
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","3.10%",-50,3.1,0.194562235251114
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","3.35%",-25,3.35,0.198936582582682
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","3.60%",0,3.6,0.198818301883807
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","3.85%",25,3.85,0.194294164860047
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","4.10%",50,4.1,0.185709791172188
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","4.35%",75,4.35,0.173626664545046
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","4.60%",100,4.6,0.158767197055797
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","4.85%",125,4.85,0.141953874491808
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","5.10%",150,5.1,0.124046900973148
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","5.35%",175,5.35,0.105883772598821
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","5.60%",200,5.6,0.0807677038282328
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","5.85%",225,5.85,0.0667327936297148
2025-02-18,2023-09-01 12:00:00,"2023-09-01 22:00:00","6.10%",250,6.1,0.0438717545166634
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","0.10%",-350,0.1,0
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","0.35%",-325,0.35,0
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","0.60%",-300,0.6,0.0105020484928932
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","0.85%",-275,0.85,0.0147976058733801
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","1.10%",-250,1.1,0.0201800034126773
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","1.35%",-225,1.35,0.0266356559603776
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","1.60%",-200,1.6,0.034026554500479
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","1.85%",-175,1.85,0.0420712098590728
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","2.10%",-150,2.1,0.0503459456461479
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","2.35%",-125,2.35,0.0583118072269529
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","2.60%",-100,2.6,0.065367370725037
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","2.85%",-75,2.85,0.0709215245345996
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","3.10%",-50,3.1,0.074474509199432
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","3.35%",-25,3.35,0.07569196578154
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","3.60%",0,3.6,0.0744568173423609
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","3.85%",25,3.85,0.0708878328825763
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","4.10%",50,4.1,0.0653207965640666
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","4.35%",75,4.35,0.0582564176783506
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","4.60%",100,4.6,0.0502861741056826
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","4.85%",125,4.85,0.042011279780551
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","5.10%",150,5.1,0.0339700122217495
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","5.35%",175,5.35,0.0265850782206831
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","5.60%",200,5.6,0.0201368993145135
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","5.85%",225,5.85,0.0147624906768766
2025-02-18,2023-09-04 12:00:00,"2023-09-04 22:00:00","6.10%",250,6.1,0
2025-02-18,2023-09-05 12:00:00,"2023-09-05 22:00:00","0.10%",-350,0.1,0
2025-02-18,2023-09-05 12:00:00,"2023-09-05 22:00:00","0.35%",-325,0.35,0
