"meeting_date","scrape_time","scrape_datetime_aest","move","diff_bps","bucket_rate","probability"
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","300 bp cut",-300,0.5,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","275 bp cut",-275,0.75,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","250 bp cut",-250,1,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","225 bp cut",-225,1.25,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","200 bp cut",-200,1.5,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","175 bp cut",-175,1.75,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","150 bp cut",-150,2,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","125 bp cut",-125,2.25,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","100 bp cut",-100,2.5,0.0314162391370087
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","75 bp cut",-75,2.75,0.0937098700667896
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","50 bp cut",-50,3,0.187528880717685
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","25 bp cut",-25,3.25,0.251866054701373
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","No change",0,3.5,0.22707174447657
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","+25 bp hike",25,3.75,0.137411350373322
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","+50 bp hike",50,4,0.0557988172710433
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","+75 bp hike",75,4.25,0.0151970432562083
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","+100 bp hike",100,4.5,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","+125 bp hike",125,4.75,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","+150 bp hike",150,5,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","+175 bp hike",175,5.25,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","+200 bp hike",200,5.5,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","+225 bp hike",225,5.75,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","+250 bp hike",250,6,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","+275 bp hike",275,6.25,0
2025-11-04,2025-08-12 00:01:37,"2025-08-12 10:01:37","+300 bp hike",300,6.5,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","300 bp cut",-300,0.5,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","275 bp cut",-275,0.75,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","250 bp cut",-250,1,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","225 bp cut",-225,1.25,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","200 bp cut",-200,1.5,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","175 bp cut",-175,1.75,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","150 bp cut",-150,2,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","125 bp cut",-125,2.25,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","100 bp cut",-100,2.5,0.0287828222073104
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","75 bp cut",-75,2.75,0.0881716746955469
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","50 bp cut",-50,3,0.181201712088138
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","25 bp cut",-25,3.25,0.249922774975895
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","No change",0,3.5,0.231387305331895
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","+25 bp hike",25,3.75,0.143795102170751
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","+50 bp hike",50,4,0.0599656603869608
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","+75 bp hike",75,4.25,0.0167729481435037
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","+100 bp hike",100,4.5,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","+125 bp hike",125,4.75,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","+150 bp hike",150,5,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","+175 bp hike",175,5.25,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","+200 bp hike",200,5.5,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","+225 bp hike",225,5.75,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","+250 bp hike",250,6,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","+275 bp hike",275,6.25,0
2025-11-04,2025-08-12 02:18:13,"2025-08-12 12:18:13","+300 bp hike",300,6.5,0
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","300 bp cut",-300,0.5,0
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","275 bp cut",-275,0.75,0
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","250 bp cut",-250,1,0
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","225 bp cut",-225,1.25,0
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","200 bp cut",-200,1.5,0
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","175 bp cut",-175,1.75,0
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","150 bp cut",-150,2,0
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","125 bp cut",-125,2.25,0
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","100 bp cut",-100,2.5,0.0287828222073104
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","75 bp cut",-75,2.75,0.0881716746955469
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","50 bp cut",-50,3,0.181201712088138
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","25 bp cut",-25,3.25,0.249922774975895
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","No change",0,3.5,0.231387305331895
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","+25 bp hike",25,3.75,0.143795102170751
2025-11-04,2025-08-12 02:38:53,"2025-08-12 12:38:53","+50 bp hike",50,4,0.0599656603869608
