"meeting_date","scrape_time","scrape_datetime_aest","move","diff_bps","bucket_rate","probability"
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","0.10%",-350,0.1,0
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","0.35%",-325,0.35,0
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","0.60%",-300,0.6,0
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","0.85%",-275,0.85,0
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","1.10%",-250,1.1,0
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","1.35%",-225,1.35,0
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","1.60%",-200,1.6,0
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","1.85%",-175,1.85,0.0129869905129093
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","2.10%",-150,2.1,0.0178990483012945
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","2.35%",-125,2.35,0.023876118541384
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","2.60%",-100,2.6,0.0308254850401491
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","2.85%",-75,2.85,0.0385184275881937
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","3.10%",-50,3.1,0.0465843078879709
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","3.35%",-25,3.35,0.0545284604177662
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","3.60%",0,3.6,0.0617759360656312
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","3.85%",25,3.85,0.0677373122705438
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","4.10%",50,4.1,0.071886795464168
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","4.35%",75,4.35,0.0738384946229199
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","4.60%",100,4.6,0.0734055831064849
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","4.85%",125,4.85,0.0706297876118741
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","5.10%",150,5.1,0.0657747568504614
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","5.35%",175,5.35,0.0592847696607576
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","5.60%",200,5.6,0.0517177406206967
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","5.85%",225,5.85,0.0436665071656487
2025-04-01,2023-11-01 12:00:00,"2023-11-01 22:00:00","6.10%",250,6.1,0.135063478271146
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","0.10%",-350,0.1,0
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","0.35%",-325,0.35,0
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","0.60%",-300,0.6,0
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","0.85%",-275,0.85,0
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","1.10%",-250,1.1,0
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","1.35%",-225,1.35,0
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","1.60%",-200,1.6,0.0106389950600582
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","1.85%",-175,1.85,0.0149336893991901
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","2.10%",-150,2.1,0.0202883145236669
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","2.35%",-125,2.35,0.0266770135797658
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","2.60%",-100,2.6,0.0339500854379556
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","2.85%",-75,2.85,0.041817395912569
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","3.10%",-50,3.1,0.0498523431038875
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","3.35%",-25,3.35,0.05752103159205
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","3.60%",0,3.6,0.0642362641262975
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","3.85%",25,3.85,0.069429880281369
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","4.10%",50,4.1,0.0726315144416486
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","4.35%",75,4.35,0.0735387647988406
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","4.60%",100,4.6,0.0720642898904445
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","4.85%",125,4.85,0.0683496726566525
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","5.10%",150,5.1,0.0627430037946595
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","5.35%",175,5.35,0.0557451005712581
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","5.60%",200,5.6,0.0479358700481019
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","5.85%",225,5.85,0.0398957855166025
2025-04-01,2023-11-02 12:00:00,"2023-11-02 22:00:00","6.10%",250,6.1,0.117750985264982
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","0.10%",-350,0.1,0
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","0.35%",-325,0.35,0
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","0.60%",-300,0.6,0
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","0.85%",-275,0.85,0
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","1.10%",-250,1.1,0
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","1.35%",-225,1.35,0
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","1.60%",-200,1.6,0.0326205081283267
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","1.85%",-175,1.85,0.0456989233674508
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","2.10%",-150,2.1,0.0619631610684549
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","2.35%",-125,2.35,0.081315540016288
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","2.60%",-100,2.6,0.103282313733695
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","2.85%",-75,2.85,0.126966988689942
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","3.10%",-50,3.1,0.151066497317771
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","3.35%",-25,3.35,0.173963445652745
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","3.60%",0,3.6,0.193892210373834
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","3.85%",25,3.85,0.20915837313203
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","4.10%",50,4.1,0.218374885988647
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","4.35%",75,4.35,0.220669685166325
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","4.60%",100,4.6,0.215821749605754
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","4.85%",125,4.85,0.204296200170111
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","5.10%",150,5.1,0.187170719000461
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","5.35%",175,5.35,0.165969412536891
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","5.60%",200,5.6,0.142439591031931
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","5.85%",225,5.85,0.118316652326281
2025-04-01,2023-11-03 12:00:00,"2023-11-03 22:00:00","6.10%",250,6.1,0.347013142693062
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","0.10%",-350,0.1,0
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","0.35%",-325,0.35,0
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","0.60%",-300,0.6,0
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","0.85%",-275,0.85,0
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","1.10%",-250,1.1,0
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","1.35%",-225,1.35,0
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","1.60%",-200,1.6,0.0117678817878567
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","1.85%",-175,1.85,0.01636787340524
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","2.10%",-150,2.1,0.0220342654160311
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","2.35%",-125,2.35,0.0287089488720478
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","2.60%",-100,2.6,0.0362033231669641
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","2.85%",-75,2.85,0.0441867481264956
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","3.10%",-50,3.1,0.0521973109524306
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","3.35%",-25,3.35,0.0596783386122494
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","3.60%",0,3.6,0.0660385974637399
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","3.85%",25,3.85,0.0707280188478266
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","4.10%",50,4.1,0.0733158188748594
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","4.35%",75,4.35,0.0735557172463076
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","4.60%",100,4.6,0.0714245855188093
2025-04-01,2023-11-06 12:00:00,"2023-11-06 22:00:00","4.85%",125,4.85,0.0671261236137321
