"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2023-05-02,2022-04-21,"0.10%",-300,0.1,0
2023-05-02,2022-04-21,"0.35%",-300,0.35,0
2023-05-02,2022-04-21,"0.60%",-300,0.6,0
2023-05-02,2022-04-21,"0.85%",-275,0.85,0.0160444197335968
2023-05-02,2022-04-21,"1.10%",-250,1.1,0.0243688678778531
2023-05-02,2022-04-21,"1.35%",-225,1.35,0.0350270467345754
2023-05-02,2022-04-21,"1.60%",-200,1.6,0.0476462517348041
2023-05-02,2022-04-21,"1.85%",-175,1.85,0.061335399503472
2023-05-02,2022-04-21,"2.10%",-150,2.1,0.0747224405821842
2023-05-02,2022-04-21,"2.35%",-125,2.35,0.0861486372446988
2023-05-02,2022-04-21,"2.60%",-100,2.6,0.0939947021853479
2023-05-02,2022-04-21,"2.85%",-75,2.85,0.0970545711184901
2023-05-02,2022-04-21,"3.10%",-50,3.1,0.0948388517967946
2023-05-02,2022-04-21,"3.35%",-25,3.35,0.0877029576954634
2023-05-02,2022-04-21,"3.60%",0,3.6,0.0767537854659867
2023-05-02,2022-04-21,"3.85%",25,3.85,0.0635686367590898
2023-05-02,2022-04-21,"4.10%",50,4.1,0.0498245524808434
2023-05-02,2022-04-21,"4.35%",75,4.35,0.036957380451742
2023-05-02,2022-04-21,"4.60%",100,4.6,0.0259427516516378
2023-05-02,2022-04-21,"4.85%",125,4.85,0.0172340664742882
2023-05-02,2022-04-21,"5.10%",150,5.1,0.0108346805091317
2023-05-02,2022-04-21,"5.35%",175,5.35,0
2023-05-02,2022-04-21,"5.60%",200,5.6,0
2023-05-02,2022-04-21,"5.85%",225,5.85,0
2023-05-02,2022-04-21,"6.10%",250,6.1,0
2023-05-02,2022-04-26,"0.10%",-300,0.1,0
2023-05-02,2022-04-26,"0.35%",-300,0.35,0
2023-05-02,2022-04-26,"0.60%",-300,0.6,0
2023-05-02,2022-04-26,"0.85%",-275,0.85,0
2023-05-02,2022-04-26,"1.10%",-250,1.1,0.0143669551381627
2023-05-02,2022-04-26,"1.35%",-225,1.35,0.0221148417369452
2023-05-02,2022-04-26,"1.60%",-200,1.6,0.0322151165911924
2023-05-02,2022-04-26,"1.85%",-175,1.85,0.0444112072916277
2023-05-02,2022-04-26,"2.10%",-150,2.1,0.0579405544871841
2023-05-02,2022-04-26,"2.35%",-125,2.35,0.0715368928506389
2023-05-02,2022-04-26,"2.60%",-100,2.6,0.0835862778344849
2023-05-02,2022-04-26,"2.85%",-75,2.85,0.0924267074068364
2023-05-02,2022-04-26,"3.10%",-50,3.1,0.0967202972156284
2023-05-02,2022-04-26,"3.35%",-25,3.35,0.0957845437856642
2023-05-02,2022-04-26,"3.60%",0,3.6,0.0897699356913267
2023-05-02,2022-04-26,"3.85%",25,3.85,0.0796203384929572
2023-05-02,2022-04-26,"4.10%",50,4.1,0.0668304950201845
2023-05-02,2022-04-26,"4.35%",75,4.35,0.0530863397247734
2023-05-02,2022-04-26,"4.60%",100,4.6,0.0399069181926712
2023-05-02,2022-04-26,"4.85%",125,4.85,0.0283903489175364
2023-05-02,2022-04-26,"5.10%",150,5.1,0.0191139388673212
2023-05-02,2022-04-26,"5.35%",175,5.35,0.0121782907548646
2023-05-02,2022-04-26,"5.60%",200,5.6,0
2023-05-02,2022-04-26,"5.85%",225,5.85,0
2023-05-02,2022-04-26,"6.10%",250,6.1,0
2023-05-02,2022-04-27,"0.10%",-300,0.1,0
2023-05-02,2022-04-27,"0.35%",-300,0.35,0
2023-05-02,2022-04-27,"0.60%",-300,0.6,0
2023-05-02,2022-04-27,"0.85%",-275,0.85,0
2023-05-02,2022-04-27,"1.10%",-250,1.1,0.0151905609145535
2023-05-02,2022-04-27,"1.35%",-225,1.35,0.0232262218249356
2023-05-02,2022-04-27,"1.60%",-200,1.6,0.0336078035297055
2023-05-02,2022-04-27,"1.85%",-175,1.85,0.0460212823244876
2023-05-02,2022-04-27,"2.10%",-150,2.1,0.0596395720960825
2023-05-02,2022-04-27,"2.35%",-125,2.35,0.0731421458858862
2023-05-02,2022-04-27,"2.60%",-100,2.6,0.0848903604091125
2023-05-02,2022-04-27,"2.85%",-75,2.85,0.0932409412736283
2023-05-02,2022-04-27,"3.10%",-50,3.1,0.0969198136454912
2023-05-02,2022-04-27,"3.35%",-25,3.35,0.0953402233798929
2023-05-02,2022-04-27,"3.60%",0,3.6,0.0887559390304738
2023-05-02,2022-04-27,"3.85%",25,3.85,0.0781945168462303
2023-05-02,2022-04-27,"4.10%",50,4.1,0.0651947643011234
2023-05-02,2022-04-27,"4.35%",75,4.35,0.0514406643493254
2023-05-02,2022-04-27,"4.60%",100,4.6,0.0384111848095749
2023-05-02,2022-04-27,"4.85%",125,4.85,0.0271435061438004
2023-05-02,2022-04-27,"5.10%",150,5.1,0.0181522758454456
2023-05-02,2022-04-27,"5.35%",175,5.35,0.0114882233902504
2023-05-02,2022-04-27,"5.60%",200,5.6,0
2023-05-02,2022-04-27,"5.85%",225,5.85,0
2023-05-02,2022-04-27,"6.10%",250,6.1,0
2023-05-02,2022-04-28,"0.10%",-300,0.1,0
2023-05-02,2022-04-28,"0.35%",-300,0.35,0
2023-05-02,2022-04-28,"0.60%",-300,0.6,0
2023-05-02,2022-04-28,"0.85%",-275,0.85,0
2023-05-02,2022-04-28,"1.10%",-250,1.1,0.0144393109191437
2023-05-02,2022-04-28,"1.35%",-225,1.35,0.022212853005508
2023-05-02,2022-04-28,"1.60%",-200,1.6,0.0323384344718282
2023-05-02,2022-04-28,"1.85%",-175,1.85,0.0445544044521747
2023-05-02,2022-04-28,"2.10%",-150,2.1,0.0580924231388599
