"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2024-06-18,2023-01-04,"0.10%",-300,0.1,0
2024-06-18,2023-01-04,"0.35%",-300,0.35,0
2024-06-18,2023-01-04,"0.60%",-300,0.6,0
2024-06-18,2023-01-04,"0.85%",-275,0.85,0
2024-06-18,2023-01-04,"1.10%",-250,1.1,0
2024-06-18,2023-01-04,"1.35%",-225,1.35,0
2024-06-18,2023-01-04,"1.60%",-200,1.6,0
2024-06-18,2023-01-04,"1.85%",-175,1.85,0
2024-06-18,2023-01-04,"2.10%",-150,2.1,0
2024-06-18,2023-01-04,"2.35%",-125,2.35,0.0207783106467913
2024-06-18,2023-01-04,"2.60%",-100,2.6,0.037906577460444
2024-06-18,2023-01-04,"2.85%",-75,2.85,0.0616932083952271
2024-06-18,2023-01-04,"3.10%",-50,3.1,0.0895738464223818
2024-06-18,2023-01-04,"3.35%",-25,3.35,0.116024101671174
2024-06-18,2023-01-04,"3.60%",0,3.6,0.134072513561819
2024-06-18,2023-01-04,"3.85%",25,3.85,0.138215462945316
2024-06-18,2023-01-04,"4.10%",50,4.1,0.127115651138818
2024-06-18,2023-01-04,"4.35%",75,4.35,0.104295716030265
2024-06-18,2023-01-04,"4.60%",100,4.6,0.0763410050229588
2024-06-18,2023-01-04,"4.85%",125,4.85,0.0498507301887215
2024-06-18,2023-01-04,"5.10%",150,5.1,0.0290405676245562
2024-06-18,2023-01-04,"5.35%",175,5.35,0.0150923088915269
2024-06-18,2023-01-04,"5.60%",200,5.6,0
2024-06-18,2023-01-04,"5.85%",225,5.85,0
2024-06-18,2023-01-04,"6.10%",250,6.1,0
2024-06-18,2023-01-05,"0.10%",-300,0.1,0
2024-06-18,2023-01-05,"0.35%",-300,0.35,0
2024-06-18,2023-01-05,"0.60%",-300,0.6,0
2024-06-18,2023-01-05,"0.85%",-275,0.85,0
2024-06-18,2023-01-05,"1.10%",-250,1.1,0
2024-06-18,2023-01-05,"1.35%",-225,1.35,0
2024-06-18,2023-01-05,"1.60%",-200,1.6,0
2024-06-18,2023-01-05,"1.85%",-175,1.85,0
2024-06-18,2023-01-05,"2.10%",-150,2.1,0.0107532135422649
2024-06-18,2023-01-05,"2.35%",-125,2.35,0.0222618801851258
2024-06-18,2023-01-05,"2.60%",-100,2.6,0.0408444080651066
2024-06-18,2023-01-05,"2.85%",-75,2.85,0.0664132033684688
2024-06-18,2023-01-05,"3.10%",-50,3.1,0.0957040756909921
2024-06-18,2023-01-05,"3.35%",-25,3.35,0.122225828475
2024-06-18,2023-01-05,"3.60%",0,3.6,0.13834188642003
2024-06-18,2023-01-05,"3.85%",25,3.85,0.138772481732798
2024-06-18,2023-01-05,"4.10%",50,4.1,0.123370690377591
2024-06-18,2023-01-05,"4.35%",75,4.35,0.0972028151978783
2024-06-18,2023-01-05,"4.60%",100,4.6,0.06787382810404
2024-06-18,2023-01-05,"4.85%",125,4.85,0.042002986290048
2024-06-18,2023-01-05,"5.10%",150,5.1,0.0230361145033135
2024-06-18,2023-01-05,"5.35%",175,5.35,0.0111965880473426
2024-06-18,2023-01-05,"5.60%",200,5.6,0
2024-06-18,2023-01-05,"5.85%",225,5.85,0
2024-06-18,2023-01-05,"6.10%",250,6.1,0
2024-06-18,2023-01-06,"0.10%",-300,0.1,0
2024-06-18,2023-01-06,"0.35%",-300,0.35,0
2024-06-18,2023-01-06,"0.60%",-300,0.6,0
2024-06-18,2023-01-06,"0.85%",-275,0.85,0
2024-06-18,2023-01-06,"1.10%",-250,1.1,0
2024-06-18,2023-01-06,"1.35%",-225,1.35,0
2024-06-18,2023-01-06,"1.60%",-200,1.6,0
2024-06-18,2023-01-06,"1.85%",-175,1.85,0
2024-06-18,2023-01-06,"2.10%",-150,2.1,0
2024-06-18,2023-01-06,"2.35%",-125,2.35,0.0144386147291119
2024-06-18,2023-01-06,"2.60%",-100,2.6,0.0318868538062536
2024-06-18,2023-01-06,"2.85%",-75,2.85,0.0601679945498047
2024-06-18,2023-01-06,"3.10%",-50,3.1,0.0970054429999288
2024-06-18,2023-01-06,"3.35%",-25,3.35,0.133631923813024
2024-06-18,2023-01-06,"3.60%",0,3.6,0.157294134661762
2024-06-18,2023-01-06,"3.85%",25,3.85,0.158199607935121
2024-06-18,2023-01-06,"4.10%",50,4.1,0.135953041374917
2024-06-18,2023-01-06,"4.35%",75,4.35,0.0998299590945295
2024-06-18,2023-01-06,"4.60%",100,4.6,0.0626349627381768
2024-06-18,2023-01-06,"4.85%",125,4.85,0.0335776291314741
2024-06-18,2023-01-06,"5.10%",150,5.1,0.0153798351658966
2024-06-18,2023-01-06,"5.35%",175,5.35,0
2024-06-18,2023-01-06,"5.60%",200,5.6,0
2024-06-18,2023-01-06,"5.85%",225,5.85,0
2024-06-18,2023-01-06,"6.10%",250,6.1,0
2024-06-18,2023-01-07,"0.10%",-300,0.1,0
