"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2025-11-04,2025-05-25,"0.10%",-300,0.1,0
2025-11-04,2025-05-25,"0.35%",-300,0.35,0
2025-11-04,2025-05-25,"0.60%",-300,0.6,0
2025-11-04,2025-05-25,"0.85%",-275,0.85,0
2025-11-04,2025-05-25,"1.10%",-250,1.1,0
2025-11-04,2025-05-25,"1.35%",-225,1.35,0
2025-11-04,2025-05-25,"1.60%",-200,1.6,0
2025-11-04,2025-05-25,"1.85%",-175,1.85,0.0176471723541215
2025-11-04,2025-05-25,"2.10%",-150,2.1,0.0365619130920127
2025-11-04,2025-05-25,"2.35%",-125,2.35,0.0653632070764405
2025-11-04,2025-05-25,"2.60%",-100,2.6,0.10083126994602
2025-11-04,2025-05-25,"2.85%",-75,2.85,0.134220758836034
2025-11-04,2025-05-25,"3.10%",-50,3.1,0.154173638618652
2025-11-04,2025-05-25,"3.35%",-25,3.35,0.152815777470599
2025-11-04,2025-05-25,"3.60%",0,3.6,0.130705481978809
2025-11-04,2025-05-25,"3.85%",25,3.85,0.0964683993724697
2025-11-04,2025-05-25,"4.10%",50,4.1,0.0614381861735745
2025-11-04,2025-05-25,"4.35%",75,4.35,0.0337635741428185
2025-11-04,2025-05-25,"4.60%",100,4.6,0.0160106209384482
2025-11-04,2025-05-25,"4.85%",125,4.85,0
2025-11-04,2025-05-25,"5.10%",150,5.1,0
2025-11-04,2025-05-25,"5.35%",175,5.35,0
2025-11-04,2025-05-25,"5.60%",200,5.6,0
2025-11-04,2025-05-25,"5.85%",225,5.85,0
2025-11-04,2025-05-25,"6.10%",250,6.1,0
2025-11-04,2025-05-26,"0.10%",-300,0.1,0
2025-11-04,2025-05-26,"0.35%",-300,0.35,0
2025-11-04,2025-05-26,"0.60%",-300,0.6,0
2025-11-04,2025-05-26,"0.85%",-275,0.85,0
2025-11-04,2025-05-26,"1.10%",-250,1.1,0
2025-11-04,2025-05-26,"1.35%",-225,1.35,0
2025-11-04,2025-05-26,"1.60%",-200,1.6,0
2025-11-04,2025-05-26,"1.85%",-175,1.85,0.0176471723541215
2025-11-04,2025-05-26,"2.10%",-150,2.1,0.0365619130920127
