"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2023-02-07,2022-04-21,"0.10%",-300,0.1,0.0106278225990646
2023-02-07,2022-04-21,"0.35%",-300,0.35,0.0169418663599296
2023-02-07,2022-04-21,"0.60%",-300,0.6,0.0255584678970596
2023-02-07,2022-04-21,"0.85%",-275,0.85,0.0364892754800068
2023-02-07,2022-04-21,"1.10%",-250,1.1,0.0493006606939714
2023-02-07,2022-04-21,"1.35%",-225,1.35,0.0630372846648029
2023-02-07,2022-04-21,"1.60%",-200,1.6,0.0762780645780089
2023-02-07,2022-04-21,"1.85%",-175,1.85,0.0873492858281315
2023-02-07,2022-04-21,"2.10%",-150,2.1,0.094662214751348
2023-02-07,2022-04-21,"2.35%",-125,2.35,0.0970848854079568
2023-02-07,2022-04-21,"2.60%",-100,2.6,0.0942289295636831
2023-02-07,2022-04-21,"2.85%",-75,2.85,0.086551489961428
2023-02-07,2022-04-21,"3.10%",-50,3.1,0.0752354361614214
2023-02-07,2022-04-21,"3.35%",-25,3.35,0.0618910506349373
2023-02-07,2022-04-21,"3.60%",0,3.6,0.0481826481316539
2023-02-07,2022-04-21,"3.85%",25,3.85,0.0354985587009746
2023-02-07,2022-04-21,"4.10%",50,4.1,0.0247507198302008
2023-02-07,2022-04-21,"4.35%",75,4.35,0.0163313387554211
2023-02-07,2022-04-21,"4.60%",100,4.6,0
2023-02-07,2022-04-21,"4.85%",125,4.85,0
2023-02-07,2022-04-21,"5.10%",150,5.1,0
2023-02-07,2022-04-21,"5.35%",175,5.35,0
2023-02-07,2022-04-21,"5.60%",200,5.6,0
2023-02-07,2022-04-21,"5.85%",225,5.85,0
2023-02-07,2022-04-21,"6.10%",250,6.1,0
2023-02-07,2022-04-26,"0.10%",-300,0.1,0
2023-02-07,2022-04-26,"0.35%",-300,0.35,0
2023-02-07,2022-04-26,"0.60%",-300,0.6,0.0164277618766327
2023-02-07,2022-04-26,"0.85%",-275,0.85,0.0248788136477227
2023-02-07,2022-04-26,"1.10%",-250,1.1,0.0356564233593103
2023-02-07,2022-04-26,"1.35%",-225,1.35,0.0483618548780595
2023-02-07,2022-04-26,"1.60%",-200,1.6,0.0620762350059765
2023-02-07,2022-04-26,"1.85%",-175,1.85,0.0754058756395968
2023-02-07,2022-04-26,"2.10%",-150,2.1,0.0866847149353721
2023-02-07,2022-04-26,"2.35%",-125,2.35,0.0943055967651356
2023-02-07,2022-04-26,"2.60%",-100,2.6,0.0970934797447802
2023-02-07,2022-04-26,"2.85%",-75,2.85,0.0946020044962071
2023-02-07,2022-04-26,"3.10%",-50,3.1,0.0872304814153295
2023-02-07,2022-04-26,"3.35%",-25,3.35,0.0761191286620877
2023-02-07,2022-04-26,"3.60%",0,3.6,0.0628603611653442
2023-02-07,2022-04-26,"3.85%",25,3.85,0.0491266718283945
2023-02-07,2022-04-26,"4.10%",50,4.1,0.0363341555440656
2023-02-07,2022-04-26,"4.35%",75,4.35,0.0254313767544962
2023-02-07,2022-04-26,"4.60%",100,4.6,0.0168454077770523
2023-02-07,2022-04-26,"4.85%",125,4.85,0.0105596565044363
2023-02-07,2022-04-26,"5.10%",150,5.1,0
2023-02-07,2022-04-26,"5.35%",175,5.35,0
2023-02-07,2022-04-26,"5.60%",200,5.6,0
2023-02-07,2022-04-26,"5.85%",225,5.85,0
2023-02-07,2022-04-26,"6.10%",250,6.1,0
2023-02-07,2022-04-27,"0.10%",-300,0.1,0
2023-02-07,2022-04-27,"0.35%",-300,0.35,0
2023-02-07,2022-04-27,"0.60%",-300,0.6,0.0161621346382003
2023-02-07,2022-04-27,"0.85%",-275,0.85,0.0245256571668219
2023-02-07,2022-04-27,"1.10%",-250,1.1,0.035220816519736
2023-02-07,2022-04-27,"1.35%",-225,1.35,0.047866893218729
2023-02-07,2022-04-27,"1.60%",-200,1.6,0.0615642088008457
2023-02-07,2022-04-27,"1.85%",-175,1.85,0.0749339729254828
2023-02-07,2022-04-27,"2.10%",-150,2.1,0.0863150906328843
2023-02-07,2022-04-27,"2.35%",-125,2.35,0.0940919143631138
