"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2026-02-03,2025-05-25,"0.10%",-300,0.1,0
2026-02-03,2025-05-25,"0.35%",-300,0.35,0
2026-02-03,2025-05-25,"0.60%",-300,0.6,0
2026-02-03,2025-05-25,"0.85%",-275,0.85,0
2026-02-03,2025-05-25,"1.10%",-250,1.1,0
2026-02-03,2025-05-25,"1.35%",-225,1.35,0.0176998701818922
2026-02-03,2025-05-25,"1.60%",-200,1.6,0.0290358959222435
2026-02-03,2025-05-25,"1.85%",-175,1.85,0.0441406473353536
2026-02-03,2025-05-25,"2.10%",-150,2.1,0.062184357720848
2026-02-03,2025-05-25,"2.35%",-125,2.35,0.081182635878387
2026-02-03,2025-05-25,"2.60%",-100,2.6,0.0982166493154613
2026-02-03,2025-05-25,"2.85%",-75,2.85,0.110115222165381
2026-02-03,2025-05-25,"3.10%",-50,3.1,0.114406334105949
2026-02-03,2025-05-25,"3.35%",-25,3.35,0.110152233506781
2026-02-03,2025-05-25,"3.60%",0,3.6,0.0982826846479158
2026-02-03,2025-05-25,"3.85%",25,3.85,0.0812645238284415
2026-02-03,2025-05-25,"4.10%",50,4.1,0.0622680049618834
2026-02-03,2025-05-25,"4.35%",75,4.35,0.0442148799228743
2026-02-03,2025-05-25,"4.60%",100,4.6,0.0290945027661261
2026-02-03,2025-05-25,"4.85%",125,4.85,0.0177415577404626
2026-02-03,2025-05-25,"5.10%",150,5.1,0
2026-02-03,2025-05-25,"5.35%",175,5.35,0
2026-02-03,2025-05-25,"5.60%",200,5.6,0
2026-02-03,2025-05-25,"5.85%",225,5.85,0
2026-02-03,2025-05-25,"6.10%",250,6.1,0
2026-02-03,2025-05-26,"0.10%",-300,0.1,0
2026-02-03,2025-05-26,"0.35%",-300,0.35,0
2026-02-03,2025-05-26,"0.60%",-300,0.6,0
2026-02-03,2025-05-26,"0.85%",-275,0.85,0
2026-02-03,2025-05-26,"1.10%",-250,1.1,0
2026-02-03,2025-05-26,"1.35%",-225,1.35,0.0173236788773264
2026-02-03,2025-05-26,"1.60%",-200,1.6,0.0285327342721582
2026-02-03,2025-05-26,"1.85%",-175,1.85,0.043538784170607
2026-02-03,2025-05-26,"2.10%",-150,2.1,0.0615516252134794
2026-02-03,2025-05-26,"2.35%",-125,2.35,0.0806183001977526
2026-02-03,2025-05-26,"2.60%",-100,2.6,0.097827076428193
2026-02-03,2025-05-26,"2.85%",-75,2.85,0.109980617698047
